2021-08-23 14:16:53,414 INFO    MainThread:61305 [wandb_setup.py:_flush():70] setting env: {}
2021-08-23 14:16:53,415 INFO    MainThread:61305 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-08-23 14:16:53,415 INFO    MainThread:61305 [wandb_setup.py:_flush():70] setting login settings: {}
2021-08-23 14:16:53,416 INFO    MainThread:61305 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-DQN/wandb/run-20210823_141653-3jsfcm4h/logs/debug.log
2021-08-23 14:16:53,416 INFO    MainThread:61305 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-DQN/wandb/run-20210823_141653-3jsfcm4h/logs/debug-internal.log
2021-08-23 14:16:55,085 INFO    MainThread:61305 [wandb_run.py:_console_start():1218] atexit reg
2021-08-23 14:16:55,085 INFO    MainThread:61305 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-08-23 14:16:55,086 INFO    MainThread:61305 [wandb_run.py:_redirect():1088] Redirecting console.
2021-08-23 14:16:55,086 INFO    MainThread:61305 [redirect.py:install():204] install start
2021-08-23 14:16:55,086 INFO    MainThread:61305 [redirect.py:install():219] install stop
2021-08-23 14:16:55,086 INFO    MainThread:61305 [redirect.py:install():204] install start
2021-08-23 14:16:55,087 INFO    MainThread:61305 [redirect.py:install():219] install stop
2021-08-23 14:16:55,087 INFO    MainThread:61305 [wandb_run.py:_redirect():1132] Redirects installed.
2021-08-23 14:16:55,119 INFO    MainThread:61305 [wandb_watch.py:watch():35] Watching
2021-08-23 14:16:55,122 INFO    MainThread:61305 [wandb_run.py:finish():912] finishing run sebastian-dittert/uncategorized/3jsfcm4h
