2021-08-23 14:41:16,788 INFO    MainThread:66163 [wandb_setup.py:_flush():70] setting env: {}
2021-08-23 14:41:16,789 INFO    MainThread:66163 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-08-23 14:41:16,789 INFO    MainThread:66163 [wandb_setup.py:_flush():70] setting login settings: {}
2021-08-23 14:41:16,789 INFO    MainThread:66163 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-DQN/wandb/run-20210823_144116-2jsoabrv/logs/debug.log
2021-08-23 14:41:16,790 INFO    MainThread:66163 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-DQN/wandb/run-20210823_144116-2jsoabrv/logs/debug-internal.log
2021-08-23 14:41:17,875 INFO    MainThread:66163 [wandb_run.py:_console_start():1218] atexit reg
2021-08-23 14:41:17,876 INFO    MainThread:66163 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-08-23 14:41:17,876 INFO    MainThread:66163 [wandb_run.py:_redirect():1088] Redirecting console.
2021-08-23 14:41:17,876 INFO    MainThread:66163 [redirect.py:install():204] install start
2021-08-23 14:41:17,877 INFO    MainThread:66163 [redirect.py:install():219] install stop
2021-08-23 14:41:17,877 INFO    MainThread:66163 [redirect.py:install():204] install start
2021-08-23 14:41:17,877 INFO    MainThread:66163 [redirect.py:install():219] install stop
2021-08-23 14:41:17,877 INFO    MainThread:66163 [wandb_run.py:_redirect():1132] Redirects installed.
2021-08-23 14:41:23,055 INFO    MainThread:66163 [wandb_watch.py:watch():35] Watching
2021-08-23 14:41:23,411 INFO    MainThread:66163 [wandb_run.py:finish():912] finishing run sebastian-dittert/uncategorized/2jsoabrv
