2021-08-23 14:59:51,294 INFO    MainThread:6006 [wandb_setup.py:_flush():70] setting env: {}
2021-08-23 14:59:51,295 INFO    MainThread:6006 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-08-23 14:59:51,295 INFO    MainThread:6006 [wandb_setup.py:_flush():70] setting login settings: {}
2021-08-23 14:59:51,296 INFO    MainThread:6006 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-DQN/wandb/run-20210823_145951-205egscl/logs/debug.log
2021-08-23 14:59:51,296 INFO    MainThread:6006 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-DQN/wandb/run-20210823_145951-205egscl/logs/debug-internal.log
2021-08-23 14:59:52,315 INFO    MainThread:6006 [wandb_run.py:_console_start():1218] atexit reg
2021-08-23 14:59:52,316 INFO    MainThread:6006 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-08-23 14:59:52,316 INFO    MainThread:6006 [wandb_run.py:_redirect():1088] Redirecting console.
2021-08-23 14:59:52,316 INFO    MainThread:6006 [redirect.py:install():204] install start
2021-08-23 14:59:52,317 INFO    MainThread:6006 [redirect.py:install():219] install stop
2021-08-23 14:59:52,317 INFO    MainThread:6006 [redirect.py:install():204] install start
2021-08-23 14:59:52,317 INFO    MainThread:6006 [redirect.py:install():219] install stop
2021-08-23 14:59:52,317 INFO    MainThread:6006 [wandb_run.py:_redirect():1132] Redirects installed.
2021-08-23 14:59:55,889 INFO    MainThread:6006 [wandb_watch.py:watch():35] Watching
2021-08-23 14:59:56,118 INFO    MainThread:6006 [wandb_run.py:finish():912] finishing run sebastian-dittert/uncategorized/205egscl
