/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 11.0 | Q Loss: -3.595121383666992 | Steps: 11
Episode: 2 | Reward: 10.0 | Q Loss: -15.599040985107422 | Steps: 21
Episode: 3 | Reward: 9.0 | Q Loss: -61.84723663330078 | Steps: 30
Episode: 4 | Reward: 9.0 | Q Loss: -175.58123779296875 | Steps: 39
Episode: 5 | Reward: 9.0 | Q Loss: -431.11395263671875 | Steps: 48
Episode: 6 | Reward: 9.0 | Q Loss: -1172.6153564453125 | Steps: 57
Episode: 7 | Reward: 10.0 | Q Loss: -3098.87109375 | Steps: 67
Episode: 8 | Reward: 9.0 | Q Loss: -6663.7939453125 | Steps: 76
Episode: 9 | Reward: 9.0 | Q Loss: -13580.755859375 | Steps: 85
Episode: 10 | Reward: 10.0 | Q Loss: -26036.37109375 | Steps: 95
Episode: 11 | Reward: 10.0 | Q Loss: -51066.76953125 | Steps: 105
Episode: 12 | Reward: 9.0 | Q Loss: -94061.90625 | Steps: 114
Episode: 13 | Reward: 11.0 | Q Loss: -163618.65625 | Steps: 125
Episode: 14 | Reward: 10.0 | Q Loss: -286080.75 | Steps: 135
Episode: 15 | Reward: 9.0 | Q Loss: -483688.65625 | Steps: 144
Episode: 16 | Reward: 9.0 | Q Loss: -747356.9375 | Steps: 153
Episode: 17 | Reward: 9.0 | Q Loss: -1238435.25 | Steps: 162
Episode: 18 | Reward: 10.0 | Q Loss: -1840882.5 | Steps: 172
Episode: 19 | Reward: 11.0 | Q Loss: -2925818.75 | Steps: 183
Episode: 20 | Reward: 10.0 | Q Loss: -4097166.75 | Steps: 193
Episode: 21 | Reward: 9.0 | Q Loss: -5671295.0 | Steps: 202
Episode: 22 | Reward: 10.0 | Q Loss: -8326648.5 | Steps: 212
Episode: 23 | Reward: 10.0 | Q Loss: -13113614.0 | Steps: 222
Episode: 24 | Reward: 11.0 | Q Loss: -18039424.0 | Steps: 233
Episode: 25 | Reward: 10.0 | Q Loss: -21824840.0 | Steps: 243
Episode: 26 | Reward: 10.0 | Q Loss: -31830948.0 | Steps: 253
Episode: 27 | Reward: 9.0 | Q Loss: -38091296.0 | Steps: 262
Episode: 28 | Reward: 9.0 | Q Loss: -52215168.0 | Steps: 271
Episode: 29 | Reward: 10.0 | Q Loss: -68217952.0 | Steps: 281
Episode: 30 | Reward: 10.0 | Q Loss: -81070720.0 | Steps: 291
Episode: 31 | Reward: 9.0 | Q Loss: -108856064.0 | Steps: 300
Episode: 32 | Reward: 10.0 | Q Loss: -131579632.0 | Steps: 310
Episode: 33 | Reward: 10.0 | Q Loss: -165363520.0 | Steps: 320
Episode: 34 | Reward: 9.0 | Q Loss: -190620944.0 | Steps: 329
Episode: 35 | Reward: 8.0 | Q Loss: -240626512.0 | Steps: 337
Episode: 36 | Reward: 10.0 | Q Loss: -308968256.0 | Steps: 347
Episode: 37 | Reward: 10.0 | Q Loss: -345251584.0 | Steps: 357
Episode: 38 | Reward: 10.0 | Q Loss: -465691904.0 | Steps: 367
Episode: 39 | Reward: 10.0 | Q Loss: -570014656.0 | Steps: 377
Episode: 40 | Reward: 9.0 | Q Loss: -666977920.0 | Steps: 386
Episode: 41 | Reward: 14.0 | Q Loss: -928105600.0 | Steps: 400
Episode: 42 | Reward: 10.0 | Q Loss: -948148096.0 | Steps: 410
Episode: 43 | Reward: 12.0 | Q Loss: -1271588224.0 | Steps: 422
Episode: 44 | Reward: 10.0 | Q Loss: -1464905216.0 | Steps: 432
Episode: 45 | Reward: 9.0 | Q Loss: -1854299136.0 | Steps: 441
Episode: 46 | Reward: 10.0 | Q Loss: -1842652928.0 | Steps: 451
Episode: 47 | Reward: 9.0 | Q Loss: -2119901440.0 | Steps: 460
Episode: 48 | Reward: 9.0 | Q Loss: -2482487552.0 | Steps: 469
Episode: 49 | Reward: 10.0 | Q Loss: -2703425536.0 | Steps: 479
Episode: 50 | Reward: 9.0 | Q Loss: -3337961472.0 | Steps: 488
Episode: 51 | Reward: 10.0 | Q Loss: -3669468416.0 | Steps: 498
Episode: 52 | Reward: 8.0 | Q Loss: -3766626048.0 | Steps: 506
Episode: 53 | Reward: 8.0 | Q Loss: -4788186112.0 | Steps: 514
Episode: 54 | Reward: 9.0 | Q Loss: -5414218240.0 | Steps: 523
Episode: 55 | Reward: 10.0 | Q Loss: -5083878400.0 | Steps: 533
Episode: 56 | Reward: 9.0 | Q Loss: -6472813568.0 | Steps: 542
Episode: 57 | Reward: 10.0 | Q Loss: -7886136832.0 | Steps: 552
Episode: 58 | Reward: 10.0 | Q Loss: -7717630976.0 | Steps: 562
Episode: 59 | Reward: 9.0 | Q Loss: -9091878912.0 | Steps: 571
Episode: 60 | Reward: 9.0 | Q Loss: -10287681536.0 | Steps: 580
Episode: 61 | Reward: 10.0 | Q Loss: -12051349504.0 | Steps: 590
Episode: 62 | Reward: 10.0 | Q Loss: -12472289280.0 | Steps: 600
Episode: 63 | Reward: 10.0 | Q Loss: -13877495808.0 | Steps: 610
Episode: 64 | Reward: 10.0 | Q Loss: -13814568960.0 | Steps: 620
Episode: 65 | Reward: 10.0 | Q Loss: -18156855296.0 | Steps: 630
Episode: 66 | Reward: 10.0 | Q Loss: -20033157120.0 | Steps: 640
Episode: 67 | Reward: 13.0 | Q Loss: -20231260160.0 | Steps: 653
Episode: 68 | Reward: 9.0 | Q Loss: -21647949824.0 | Steps: 662
Episode: 69 | Reward: 9.0 | Q Loss: -23935160320.0 | Steps: 671
Episode: 70 | Reward: 9.0 | Q Loss: -29371482112.0 | Steps: 680
Episode: 71 | Reward: 9.0 | Q Loss: -26763681792.0 | Steps: 689
Episode: 72 | Reward: 9.0 | Q Loss: -35496902656.0 | Steps: 698
Episode: 73 | Reward: 10.0 | Q Loss: -37503778816.0 | Steps: 708
Episode: 74 | Reward: 10.0 | Q Loss: -38105452544.0 | Steps: 718
Episode: 75 | Reward: 8.0 | Q Loss: -41992077312.0 | Steps: 726
Episode: 76 | Reward: 9.0 | Q Loss: -49155801088.0 | Steps: 735
Episode: 77 | Reward: 9.0 | Q Loss: -41150828544.0 | Steps: 744
Episode: 78 | Reward: 10.0 | Q Loss: -56552103936.0 | Steps: 754
Episode: 79 | Reward: 11.0 | Q Loss: -58171723776.0 | Steps: 765
