/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Q Loss: -38.47896194458008 | Steps: 27
Episode: 2 | Reward: 18.0 | Q Loss: -324.3570251464844 | Steps: 45
Episode: 3 | Reward: 16.0 | Q Loss: -1690.661376953125 | Steps: 61
Episode: 4 | Reward: 37.0 | Q Loss: -31128.046875 | Steps: 98
Episode: 5 | Reward: 14.0 | Q Loss: -76962.0625 | Steps: 112
Episode: 6 | Reward: 11.0 | Q Loss: -141151.375 | Steps: 123
Episode: 7 | Reward: 16.0 | Q Loss: -332829.375 | Steps: 139
Episode: 8 | Reward: 15.0 | Q Loss: -681555.125 | Steps: 154
Episode: 9 | Reward: 16.0 | Q Loss: -1661892.25 | Steps: 170
Episode: 10 | Reward: 22.0 | Q Loss: -3602510.0 | Steps: 192
Episode: 11 | Reward: 18.0 | Q Loss: -6246523.0 | Steps: 210
Episode: 12 | Reward: 31.0 | Q Loss: -19804322.0 | Steps: 241
Episode: 13 | Reward: 26.0 | Q Loss: -38321204.0 | Steps: 267
Episode: 14 | Reward: 58.0 | Q Loss: -157630336.0 | Steps: 325
Episode: 15 | Reward: 21.0 | Q Loss: -240627296.0 | Steps: 346
Episode: 16 | Reward: 27.0 | Q Loss: -378622144.0 | Steps: 373
Episode: 17 | Reward: 25.0 | Q Loss: -694950656.0 | Steps: 398
Episode: 18 | Reward: 19.0 | Q Loss: -917093888.0 | Steps: 417
Episode: 19 | Reward: 18.0 | Q Loss: -1198714368.0 | Steps: 435
Episode: 20 | Reward: 31.0 | Q Loss: -1852595968.0 | Steps: 466
Episode: 21 | Reward: 22.0 | Q Loss: -2368022016.0 | Steps: 488
Episode: 22 | Reward: 17.0 | Q Loss: -3328708096.0 | Steps: 505
Episode: 23 | Reward: 65.0 | Q Loss: -7453973504.0 | Steps: 570
Episode: 24 | Reward: 11.0 | Q Loss: -7401779200.0 | Steps: 581
Episode: 25 | Reward: 15.0 | Q Loss: -9421504512.0 | Steps: 596
Episode: 26 | Reward: 22.0 | Q Loss: -11922776064.0 | Steps: 618
Episode: 27 | Reward: 22.0 | Q Loss: -13445867520.0 | Steps: 640
Episode: 28 | Reward: 55.0 | Q Loss: -26502176768.0 | Steps: 695
Episode: 29 | Reward: 12.0 | Q Loss: -24581709824.0 | Steps: 707
Episode: 30 | Reward: 30.0 | Q Loss: -34054512640.0 | Steps: 737
Episode: 31 | Reward: 14.0 | Q Loss: -43732754432.0 | Steps: 751
Episode: 32 | Reward: 16.0 | Q Loss: -43031289856.0 | Steps: 767
Episode: 33 | Reward: 36.0 | Q Loss: -65580494848.0 | Steps: 803
Episode: 34 | Reward: 11.0 | Q Loss: -64335589376.0 | Steps: 814
Episode: 35 | Reward: 10.0 | Q Loss: -67523284992.0 | Steps: 824
Episode: 36 | Reward: 39.0 | Q Loss: -84109393920.0 | Steps: 863
Episode: 37 | Reward: 17.0 | Q Loss: -105687302144.0 | Steps: 880
Episode: 38 | Reward: 41.0 | Q Loss: -137154764800.0 | Steps: 921
Episode: 39 | Reward: 33.0 | Q Loss: -161656864768.0 | Steps: 954
Episode: 40 | Reward: 15.0 | Q Loss: -191294308352.0 | Steps: 969
Episode: 41 | Reward: 15.0 | Q Loss: -184880676864.0 | Steps: 984
Episode: 42 | Reward: 26.0 | Q Loss: -241889673216.0 | Steps: 1010
Episode: 43 | Reward: 25.0 | Q Loss: -239973744640.0 | Steps: 1035
Episode: 44 | Reward: 29.0 | Q Loss: -325611028480.0 | Steps: 1064
Episode: 45 | Reward: 16.0 | Q Loss: -300085837824.0 | Steps: 1080
Episode: 46 | Reward: 24.0 | Q Loss: -420334305280.0 | Steps: 1104
Episode: 47 | Reward: 21.0 | Q Loss: -474523172864.0 | Steps: 1125
Episode: 48 | Reward: 12.0 | Q Loss: -473433440256.0 | Steps: 1137
Episode: 49 | Reward: 12.0 | Q Loss: -469604204544.0 | Steps: 1149
Episode: 50 | Reward: 32.0 | Q Loss: -559479128064.0 | Steps: 1181
Episode: 51 | Reward: 15.0 | Q Loss: -631950802944.0 | Steps: 1196
Episode: 52 | Reward: 8.0 | Q Loss: -608213532672.0 | Steps: 1204
Episode: 53 | Reward: 19.0 | Q Loss: -680968388608.0 | Steps: 1223
Episode: 54 | Reward: 38.0 | Q Loss: -810057465856.0 | Steps: 1261
Episode: 55 | Reward: 34.0 | Q Loss: -906366156800.0 | Steps: 1295
Episode: 56 | Reward: 37.0 | Q Loss: -1047017095168.0 | Steps: 1332
Episode: 57 | Reward: 35.0 | Q Loss: -1358298349568.0 | Steps: 1367
Episode: 58 | Reward: 36.0 | Q Loss: -1295195045888.0 | Steps: 1403
Episode: 59 | Reward: 30.0 | Q Loss: -1526921166848.0 | Steps: 1433
Episode: 60 | Reward: 21.0 | Q Loss: -1654843768832.0 | Steps: 1454
Episode: 61 | Reward: 13.0 | Q Loss: -1657460359168.0 | Steps: 1467
Episode: 62 | Reward: 10.0 | Q Loss: -1807903096832.0 | Steps: 1477
Episode: 63 | Reward: 16.0 | Q Loss: -1783906041856.0 | Steps: 1493
Episode: 64 | Reward: 16.0 | Q Loss: -2101062139904.0 | Steps: 1509
Episode: 65 | Reward: 13.0 | Q Loss: -2082528296960.0 | Steps: 1522
Episode: 66 | Reward: 15.0 | Q Loss: -2276035133440.0 | Steps: 1537
Episode: 67 | Reward: 8.0 | Q Loss: -2202245529600.0 | Steps: 1545
Episode: 68 | Reward: 16.0 | Q Loss: -2262000730112.0 | Steps: 1561
Episode: 69 | Reward: 42.0 | Q Loss: -2711961731072.0 | Steps: 1603
Episode: 70 | Reward: 22.0 | Q Loss: -2924112510976.0 | Steps: 1625
Episode: 71 | Reward: 27.0 | Q Loss: -3032758616064.0 | Steps: 1652
Episode: 72 | Reward: 17.0 | Q Loss: -3179632132096.0 | Steps: 1669
Episode: 73 | Reward: 23.0 | Q Loss: -3298435792896.0 | Steps: 1692
Episode: 74 | Reward: 22.0 | Q Loss: -3946377641984.0 | Steps: 1714
Episode: 75 | Reward: 20.0 | Q Loss: -3908357324800.0 | Steps: 1734
Episode: 76 | Reward: 10.0 | Q Loss: -4222640717824.0 | Steps: 1744
Episode: 77 | Reward: 11.0 | Q Loss: -4255352619008.0 | Steps: 1755
Episode: 78 | Reward: 35.0 | Q Loss: -5001539747840.0 | Steps: 1790
Episode: 79 | Reward: 14.0 | Q Loss: -5176620482560.0 | Steps: 1804
Episode: 80 | Reward: 23.0 | Q Loss: -4896496549888.0 | Steps: 1827
Episode: 81 | Reward: 16.0 | Q Loss: -5627747237888.0 | Steps: 1843
Episode: 82 | Reward: 16.0 | Q Loss: -6264518082560.0 | Steps: 1859
Episode: 83 | Reward: 15.0 | Q Loss: -6239113707520.0 | Steps: 1874
Episode: 84 | Reward: 38.0 | Q Loss: -6162624282624.0 | Steps: 1912
Episode: 85 | Reward: 52.0 | Q Loss: -7661224984576.0 | Steps: 1964
Episode: 86 | Reward: 38.0 | Q Loss: -7127130177536.0 | Steps: 2002
Episode: 87 | Reward: 23.0 | Q Loss: -8038373130240.0 | Steps: 2025
Episode: 88 | Reward: 11.0 | Q Loss: -8669500538880.0 | Steps: 2036
Episode: 89 | Reward: 12.0 | Q Loss: -8317157507072.0 | Steps: 2048
Episode: 90 | Reward: 18.0 | Q Loss: -8910954037248.0 | Steps: 2066
Episode: 91 | Reward: 16.0 | Q Loss: -8630405431296.0 | Steps: 2082
Episode: 92 | Reward: 22.0 | Q Loss: -9471865651200.0 | Steps: 2104
Episode: 93 | Reward: 34.0 | Q Loss: -9653989670912.0 | Steps: 2138
Episode: 94 | Reward: 9.0 | Q Loss: -10612607287296.0 | Steps: 2147
Episode: 95 | Reward: 18.0 | Q Loss: -10963350716416.0 | Steps: 2165
Episode: 96 | Reward: 13.0 | Q Loss: -10411642454016.0 | Steps: 2178
Episode: 97 | Reward: 16.0 | Q Loss: -11591649067008.0 | Steps: 2194
Episode: 98 | Reward: 91.0 | Q Loss: -13948932849664.0 | Steps: 2285
Episode: 99 | Reward: 12.0 | Q Loss: -14000900276224.0 | Steps: 2297
Episode: 100 | Reward: 11.0 | Q Loss: -14728216707072.0 | Steps: 2308
Episode: 101 | Reward: 11.0 | Q Loss: -14236623306752.0 | Steps: 2319
Episode: 102 | Reward: 15.0 | Q Loss: -14224912809984.0 | Steps: 2334
Episode: 103 | Reward: 46.0 | Q Loss: -15493985468416.0 | Steps: 2380
Episode: 104 | Reward: 18.0 | Q Loss: -17052421062656.0 | Steps: 2398
Episode: 105 | Reward: 15.0 | Q Loss: -15495451377664.0 | Steps: 2413
Episode: 106 | Reward: 27.0 | Q Loss: -16911744106496.0 | Steps: 2440
Episode: 107 | Reward: 18.0 | Q Loss: -17073729175552.0 | Steps: 2458
