/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Q Loss: -38.47896194458008 | Steps: 27
Episode: 2 | Reward: 18.0 | Q Loss: -324.3570251464844 | Steps: 45
Episode: 3 | Reward: 16.0 | Q Loss: -1690.661376953125 | Steps: 61
Episode: 4 | Reward: 37.0 | Q Loss: -31128.046875 | Steps: 98
Episode: 5 | Reward: 14.0 | Q Loss: -76962.0625 | Steps: 112
Episode: 6 | Reward: 11.0 | Q Loss: -141151.375 | Steps: 123
Episode: 7 | Reward: 16.0 | Q Loss: -332829.375 | Steps: 139
Episode: 8 | Reward: 15.0 | Q Loss: -681555.125 | Steps: 154
Episode: 9 | Reward: 16.0 | Q Loss: -1661892.25 | Steps: 170
Episode: 10 | Reward: 22.0 | Q Loss: -3602510.0 | Steps: 192
Episode: 11 | Reward: 18.0 | Q Loss: -6246523.0 | Steps: 210
Episode: 12 | Reward: 19.0 | Q Loss: -12640488.0 | Steps: 229
Episode: 13 | Reward: 40.0 | Q Loss: -39079992.0 | Steps: 269
Episode: 14 | Reward: 18.0 | Q Loss: -62254072.0 | Steps: 287
Episode: 15 | Reward: 42.0 | Q Loss: -157855104.0 | Steps: 329
Episode: 16 | Reward: 17.0 | Q Loss: -240389120.0 | Steps: 346
Episode: 17 | Reward: 29.0 | Q Loss: -448650752.0 | Steps: 375
Episode: 18 | Reward: 19.0 | Q Loss: -567544384.0 | Steps: 394
Episode: 19 | Reward: 22.0 | Q Loss: -858715008.0 | Steps: 416
Episode: 20 | Reward: 11.0 | Q Loss: -1004908288.0 | Steps: 427
Episode: 21 | Reward: 18.0 | Q Loss: -1445496064.0 | Steps: 445
Episode: 22 | Reward: 15.0 | Q Loss: -1849613696.0 | Steps: 460
Episode: 23 | Reward: 12.0 | Q Loss: -1999534336.0 | Steps: 472
Episode: 24 | Reward: 42.0 | Q Loss: -3643713536.0 | Steps: 514
Episode: 25 | Reward: 30.0 | Q Loss: -5179056640.0 | Steps: 544
Episode: 26 | Reward: 16.0 | Q Loss: -6393543680.0 | Steps: 560
Episode: 27 | Reward: 16.0 | Q Loss: -8453584896.0 | Steps: 576
Episode: 28 | Reward: 17.0 | Q Loss: -9335350272.0 | Steps: 593
Episode: 29 | Reward: 13.0 | Q Loss: -11218819072.0 | Steps: 606
Episode: 30 | Reward: 27.0 | Q Loss: -14133028864.0 | Steps: 633
Episode: 31 | Reward: 14.0 | Q Loss: -14946758656.0 | Steps: 647
Episode: 32 | Reward: 16.0 | Q Loss: -20622784512.0 | Steps: 663
Episode: 33 | Reward: 61.0 | Q Loss: -35331780608.0 | Steps: 724
Episode: 34 | Reward: 12.0 | Q Loss: -38985707520.0 | Steps: 736
Episode: 35 | Reward: 11.0 | Q Loss: -38054453248.0 | Steps: 747
Episode: 36 | Reward: 11.0 | Q Loss: -46219829248.0 | Steps: 758
Episode: 37 | Reward: 35.0 | Q Loss: -56066662400.0 | Steps: 793
Episode: 38 | Reward: 54.0 | Q Loss: -87239376896.0 | Steps: 847
Episode: 39 | Reward: 15.0 | Q Loss: -99527819264.0 | Steps: 862
Episode: 40 | Reward: 12.0 | Q Loss: -100249780224.0 | Steps: 874
Episode: 41 | Reward: 19.0 | Q Loss: -110139957248.0 | Steps: 893
Episode: 42 | Reward: 11.0 | Q Loss: -134762217472.0 | Steps: 904
Episode: 43 | Reward: 17.0 | Q Loss: -141715341312.0 | Steps: 921
Episode: 44 | Reward: 27.0 | Q Loss: -170320723968.0 | Steps: 948
Episode: 45 | Reward: 12.0 | Q Loss: -168750366720.0 | Steps: 960
Episode: 46 | Reward: 38.0 | Q Loss: -241308237824.0 | Steps: 998
Episode: 47 | Reward: 13.0 | Q Loss: -224152879104.0 | Steps: 1011
Episode: 48 | Reward: 26.0 | Q Loss: -255725010944.0 | Steps: 1037
Episode: 49 | Reward: 28.0 | Q Loss: -349662674944.0 | Steps: 1065
Episode: 50 | Reward: 28.0 | Q Loss: -381694574592.0 | Steps: 1093
Episode: 51 | Reward: 11.0 | Q Loss: -416335790080.0 | Steps: 1104
Episode: 52 | Reward: 13.0 | Q Loss: -392957624320.0 | Steps: 1117
Episode: 53 | Reward: 37.0 | Q Loss: -482564374528.0 | Steps: 1154
Episode: 54 | Reward: 11.0 | Q Loss: -550322503680.0 | Steps: 1165
Episode: 55 | Reward: 24.0 | Q Loss: -596840677376.0 | Steps: 1189
Episode: 56 | Reward: 15.0 | Q Loss: -630293135360.0 | Steps: 1204
Episode: 57 | Reward: 12.0 | Q Loss: -653281329152.0 | Steps: 1216
Episode: 58 | Reward: 9.0 | Q Loss: -684742344704.0 | Steps: 1225
Episode: 59 | Reward: 13.0 | Q Loss: -701884268544.0 | Steps: 1238
Episode: 60 | Reward: 14.0 | Q Loss: -706773385216.0 | Steps: 1252
Episode: 61 | Reward: 22.0 | Q Loss: -906938679296.0 | Steps: 1274
Episode: 62 | Reward: 24.0 | Q Loss: -1004325306368.0 | Steps: 1298
Episode: 63 | Reward: 22.0 | Q Loss: -1085739892736.0 | Steps: 1320
Episode: 64 | Reward: 40.0 | Q Loss: -1258221207552.0 | Steps: 1360
Episode: 65 | Reward: 21.0 | Q Loss: -1251927130112.0 | Steps: 1381
Episode: 66 | Reward: 10.0 | Q Loss: -1407093833728.0 | Steps: 1391
Episode: 67 | Reward: 20.0 | Q Loss: -1618406539264.0 | Steps: 1411
Episode: 68 | Reward: 29.0 | Q Loss: -1568818200576.0 | Steps: 1440
Episode: 69 | Reward: 22.0 | Q Loss: -1878104342528.0 | Steps: 1462
Episode: 70 | Reward: 11.0 | Q Loss: -1758700634112.0 | Steps: 1473
Episode: 71 | Reward: 17.0 | Q Loss: -1922420572160.0 | Steps: 1490
Episode: 72 | Reward: 15.0 | Q Loss: -2124096077824.0 | Steps: 1505
Episode: 73 | Reward: 22.0 | Q Loss: -2207301763072.0 | Steps: 1527
Episode: 74 | Reward: 38.0 | Q Loss: -2354777161728.0 | Steps: 1565
Episode: 75 | Reward: 17.0 | Q Loss: -2900393197568.0 | Steps: 1582
Episode: 76 | Reward: 12.0 | Q Loss: -2598120718336.0 | Steps: 1594
Episode: 77 | Reward: 11.0 | Q Loss: -2749942464512.0 | Steps: 1605
Episode: 78 | Reward: 13.0 | Q Loss: -2716584640512.0 | Steps: 1618
Episode: 79 | Reward: 37.0 | Q Loss: -3040459358208.0 | Steps: 1655
Episode: 80 | Reward: 12.0 | Q Loss: -3360242532352.0 | Steps: 1667
Episode: 81 | Reward: 18.0 | Q Loss: -3886716289024.0 | Steps: 1685
Episode: 82 | Reward: 23.0 | Q Loss: -4083111952384.0 | Steps: 1708
Episode: 83 | Reward: 15.0 | Q Loss: -3901216260096.0 | Steps: 1723
Episode: 84 | Reward: 20.0 | Q Loss: -3944664006656.0 | Steps: 1743
Episode: 85 | Reward: 16.0 | Q Loss: -4140220547072.0 | Steps: 1759
Episode: 86 | Reward: 22.0 | Q Loss: -4580966924288.0 | Steps: 1781
Episode: 87 | Reward: 27.0 | Q Loss: -5243671674880.0 | Steps: 1808
Episode: 88 | Reward: 23.0 | Q Loss: -5362076352512.0 | Steps: 1831
Episode: 89 | Reward: 22.0 | Q Loss: -5665361756160.0 | Steps: 1853
Episode: 90 | Reward: 65.0 | Q Loss: -5985548107776.0 | Steps: 1918
Episode: 91 | Reward: 17.0 | Q Loss: -6512078487552.0 | Steps: 1935
Episode: 92 | Reward: 17.0 | Q Loss: -7402704863232.0 | Steps: 1952
Episode: 93 | Reward: 20.0 | Q Loss: -7655959560192.0 | Steps: 1972
Episode: 94 | Reward: 16.0 | Q Loss: -7604436729856.0 | Steps: 1988
Episode: 95 | Reward: 17.0 | Q Loss: -7827427950592.0 | Steps: 2005
Episode: 96 | Reward: 40.0 | Q Loss: -8959619497984.0 | Steps: 2045
Episode: 97 | Reward: 15.0 | Q Loss: -9395127713792.0 | Steps: 2060
Episode: 98 | Reward: 10.0 | Q Loss: -8542514839552.0 | Steps: 2070
Episode: 99 | Reward: 17.0 | Q Loss: -9458135597056.0 | Steps: 2087
Episode: 100 | Reward: 22.0 | Q Loss: -9136819404800.0 | Steps: 2109
Episode: 101 | Reward: 15.0 | Q Loss: -9798111199232.0 | Steps: 2124
Episode: 102 | Reward: 29.0 | Q Loss: -11269085069312.0 | Steps: 2153
Episode: 103 | Reward: 10.0 | Q Loss: -10845580951552.0 | Steps: 2163
Episode: 104 | Reward: 15.0 | Q Loss: -10666968612864.0 | Steps: 2178
Episode: 105 | Reward: 19.0 | Q Loss: -11353934790656.0 | Steps: 2197
Episode: 106 | Reward: 16.0 | Q Loss: -11478186852352.0 | Steps: 2213
Episode: 107 | Reward: 35.0 | Q Loss: -12655165177856.0 | Steps: 2248
