/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 11.0 | Q Loss: -3.253427267074585 | Steps: 11
Episode: 2 | Reward: 23.0 | Q Loss: -77.47478485107422 | Steps: 34
Episode: 3 | Reward: 15.0 | Q Loss: -472.58905029296875 | Steps: 49
Episode: 4 | Reward: 13.0 | Q Loss: -1273.34814453125 | Steps: 62
Episode: 5 | Reward: 14.0 | Q Loss: -5287.8955078125 | Steps: 76
Episode: 6 | Reward: 21.0 | Q Loss: -22532.0390625 | Steps: 97
Episode: 7 | Reward: 33.0 | Q Loss: -192693.75 | Steps: 130
Episode: 8 | Reward: 18.0 | Q Loss: -457801.6875 | Steps: 148
Episode: 9 | Reward: 21.0 | Q Loss: -1099810.75 | Steps: 169
Episode: 10 | Reward: 15.0 | Q Loss: -2526244.0 | Steps: 184
Episode: 11 | Reward: 49.0 | Q Loss: -10897400.0 | Steps: 233
Episode: 12 | Reward: 10.0 | Q Loss: -19027958.0 | Steps: 243
Episode: 13 | Reward: 24.0 | Q Loss: -28064930.0 | Steps: 267
Episode: 14 | Reward: 11.0 | Q Loss: -39060632.0 | Steps: 278
Episode: 15 | Reward: 12.0 | Q Loss: -70110480.0 | Steps: 290
Episode: 16 | Reward: 11.0 | Q Loss: -98758648.0 | Steps: 301
Episode: 17 | Reward: 18.0 | Q Loss: -114417520.0 | Steps: 319
Episode: 18 | Reward: 15.0 | Q Loss: -178837280.0 | Steps: 334
Episode: 19 | Reward: 30.0 | Q Loss: -358419840.0 | Steps: 364
Episode: 20 | Reward: 12.0 | Q Loss: -369729280.0 | Steps: 376
Episode: 21 | Reward: 37.0 | Q Loss: -664140544.0 | Steps: 413
Episode: 22 | Reward: 13.0 | Q Loss: -936709312.0 | Steps: 426
Episode: 23 | Reward: 15.0 | Q Loss: -1024927744.0 | Steps: 441
Episode: 24 | Reward: 15.0 | Q Loss: -1509434368.0 | Steps: 456
Episode: 25 | Reward: 9.0 | Q Loss: -1558302592.0 | Steps: 465
Episode: 26 | Reward: 8.0 | Q Loss: -2178716672.0 | Steps: 473
Episode: 27 | Reward: 15.0 | Q Loss: -2329846272.0 | Steps: 488
Episode: 28 | Reward: 9.0 | Q Loss: -2547773952.0 | Steps: 497
Episode: 29 | Reward: 9.0 | Q Loss: -2992709376.0 | Steps: 506
Episode: 30 | Reward: 10.0 | Q Loss: -2938975232.0 | Steps: 516
Episode: 31 | Reward: 13.0 | Q Loss: -4570994176.0 | Steps: 529
Episode: 32 | Reward: 17.0 | Q Loss: -6506556416.0 | Steps: 546
Episode: 33 | Reward: 13.0 | Q Loss: -5347739648.0 | Steps: 559
Episode: 34 | Reward: 12.0 | Q Loss: -8463826944.0 | Steps: 571
Episode: 35 | Reward: 11.0 | Q Loss: -9465355264.0 | Steps: 582
Episode: 36 | Reward: 10.0 | Q Loss: -9568208896.0 | Steps: 592
Episode: 37 | Reward: 10.0 | Q Loss: -8015267840.0 | Steps: 602
Episode: 38 | Reward: 19.0 | Q Loss: -13923704832.0 | Steps: 621
Episode: 39 | Reward: 10.0 | Q Loss: -12267132928.0 | Steps: 631
Episode: 40 | Reward: 10.0 | Q Loss: -15668838400.0 | Steps: 641
Episode: 41 | Reward: 11.0 | Q Loss: -19423977472.0 | Steps: 652
Episode: 42 | Reward: 11.0 | Q Loss: -16495960064.0 | Steps: 663
Episode: 43 | Reward: 14.0 | Q Loss: -20531949568.0 | Steps: 677
Episode: 44 | Reward: 11.0 | Q Loss: -25362575360.0 | Steps: 688
Episode: 45 | Reward: 11.0 | Q Loss: -23054008320.0 | Steps: 699
Episode: 46 | Reward: 14.0 | Q Loss: -32621424640.0 | Steps: 713
Episode: 47 | Reward: 10.0 | Q Loss: -36188606464.0 | Steps: 723
Episode: 48 | Reward: 19.0 | Q Loss: -47601659904.0 | Steps: 742
Episode: 49 | Reward: 9.0 | Q Loss: -39214661632.0 | Steps: 751
Episode: 50 | Reward: 10.0 | Q Loss: -37937037312.0 | Steps: 761
Episode: 51 | Reward: 12.0 | Q Loss: -47711191040.0 | Steps: 773
Episode: 52 | Reward: 10.0 | Q Loss: -51551866880.0 | Steps: 783
Episode: 53 | Reward: 20.0 | Q Loss: -77821403136.0 | Steps: 803
Episode: 54 | Reward: 12.0 | Q Loss: -70179020800.0 | Steps: 815
Episode: 55 | Reward: 10.0 | Q Loss: -77504274432.0 | Steps: 825
Episode: 56 | Reward: 9.0 | Q Loss: -62241337344.0 | Steps: 834
Episode: 57 | Reward: 11.0 | Q Loss: -90134429696.0 | Steps: 845
Episode: 58 | Reward: 10.0 | Q Loss: -100785037312.0 | Steps: 855
Episode: 59 | Reward: 10.0 | Q Loss: -107118821376.0 | Steps: 865
Episode: 60 | Reward: 9.0 | Q Loss: -100288593920.0 | Steps: 874
Episode: 61 | Reward: 9.0 | Q Loss: -100417323008.0 | Steps: 883
Episode: 62 | Reward: 11.0 | Q Loss: -133985607680.0 | Steps: 894
Episode: 63 | Reward: 13.0 | Q Loss: -154649165824.0 | Steps: 907
Episode: 64 | Reward: 12.0 | Q Loss: -132313178112.0 | Steps: 919
Episode: 65 | Reward: 9.0 | Q Loss: -134097797120.0 | Steps: 928
Episode: 66 | Reward: 12.0 | Q Loss: -120602050560.0 | Steps: 940
Episode: 67 | Reward: 13.0 | Q Loss: -185853886464.0 | Steps: 953
Episode: 68 | Reward: 11.0 | Q Loss: -165176311808.0 | Steps: 964
Episode: 69 | Reward: 10.0 | Q Loss: -156520136704.0 | Steps: 974
Episode: 70 | Reward: 10.0 | Q Loss: -216416485376.0 | Steps: 984
Episode: 71 | Reward: 8.0 | Q Loss: -268339904512.0 | Steps: 992
Episode: 72 | Reward: 12.0 | Q Loss: -231409876992.0 | Steps: 1004
Episode: 73 | Reward: 8.0 | Q Loss: -234113662976.0 | Steps: 1012
Episode: 74 | Reward: 9.0 | Q Loss: -261837422592.0 | Steps: 1021
Episode: 75 | Reward: 10.0 | Q Loss: -290180562944.0 | Steps: 1031
Episode: 76 | Reward: 8.0 | Q Loss: -295943536640.0 | Steps: 1039
Episode: 77 | Reward: 9.0 | Q Loss: -269210714112.0 | Steps: 1048
Episode: 78 | Reward: 15.0 | Q Loss: -266669899776.0 | Steps: 1063
Episode: 79 | Reward: 9.0 | Q Loss: -318626955264.0 | Steps: 1072
Episode: 80 | Reward: 10.0 | Q Loss: -393477455872.0 | Steps: 1082
Episode: 81 | Reward: 10.0 | Q Loss: -423689551872.0 | Steps: 1092
Episode: 82 | Reward: 9.0 | Q Loss: -453765300224.0 | Steps: 1101
Episode: 83 | Reward: 12.0 | Q Loss: -392321040384.0 | Steps: 1113
Episode: 84 | Reward: 10.0 | Q Loss: -446230495232.0 | Steps: 1123
Episode: 85 | Reward: 11.0 | Q Loss: -497100849152.0 | Steps: 1134
Episode: 86 | Reward: 9.0 | Q Loss: -571857436672.0 | Steps: 1143
Episode: 87 | Reward: 9.0 | Q Loss: -479764938752.0 | Steps: 1152
Episode: 88 | Reward: 9.0 | Q Loss: -754252709888.0 | Steps: 1161
Episode: 89 | Reward: 9.0 | Q Loss: -517003083776.0 | Steps: 1170
Episode: 90 | Reward: 9.0 | Q Loss: -583447216128.0 | Steps: 1179
Episode: 91 | Reward: 10.0 | Q Loss: -841468280832.0 | Steps: 1189
Episode: 92 | Reward: 10.0 | Q Loss: -608593182720.0 | Steps: 1199
Episode: 93 | Reward: 9.0 | Q Loss: -572181053440.0 | Steps: 1208
Episode: 94 | Reward: 10.0 | Q Loss: -626905579520.0 | Steps: 1218
Episode: 95 | Reward: 10.0 | Q Loss: -650378084352.0 | Steps: 1228
Episode: 96 | Reward: 8.0 | Q Loss: -841746350080.0 | Steps: 1236
Episode: 97 | Reward: 8.0 | Q Loss: -770135687168.0 | Steps: 1244
Episode: 98 | Reward: 8.0 | Q Loss: -1022621515776.0 | Steps: 1252
Episode: 99 | Reward: 10.0 | Q Loss: -849114955776.0 | Steps: 1262
Episode: 100 | Reward: 8.0 | Q Loss: -726137176064.0 | Steps: 1270
Episode: 101 | Reward: 12.0 | Q Loss: -772437573632.0 | Steps: 1282
Episode: 102 | Reward: 11.0 | Q Loss: -974186086400.0 | Steps: 1293
Episode: 103 | Reward: 9.0 | Q Loss: -895497273344.0 | Steps: 1302
Episode: 104 | Reward: 8.0 | Q Loss: -770241200128.0 | Steps: 1310
Episode: 105 | Reward: 10.0 | Q Loss: -887553916928.0 | Steps: 1320
Episode: 106 | Reward: 10.0 | Q Loss: -1031357857792.0 | Steps: 1330
Episode: 107 | Reward: 8.0 | Q Loss: -1351482867712.0 | Steps: 1338
Episode: 108 | Reward: 8.0 | Q Loss: -1183310151680.0 | Steps: 1346
Episode: 109 | Reward: 9.0 | Q Loss: -1217458601984.0 | Steps: 1355
Episode: 110 | Reward: 24.0 | Q Loss: -1252456398848.0 | Steps: 1379
Episode: 111 | Reward: 10.0 | Q Loss: -1484860424192.0 | Steps: 1389
Episode: 112 | Reward: 9.0 | Q Loss: -1146234601472.0 | Steps: 1398
Episode: 113 | Reward: 9.0 | Q Loss: -1458010062848.0 | Steps: 1407
Episode: 114 | Reward: 8.0 | Q Loss: -1676214140928.0 | Steps: 1415
Episode: 115 | Reward: 9.0 | Q Loss: -2192924213248.0 | Steps: 1424
Episode: 116 | Reward: 10.0 | Q Loss: -1620208517120.0 | Steps: 1434
Episode: 117 | Reward: 10.0 | Q Loss: -2858663804928.0 | Steps: 1444
Episode: 118 | Reward: 10.0 | Q Loss: -1366019932160.0 | Steps: 1454
Episode: 119 | Reward: 10.0 | Q Loss: -2137310363648.0 | Steps: 1464
Episode: 120 | Reward: 10.0 | Q Loss: -1731818291200.0 | Steps: 1474
Episode: 121 | Reward: 10.0 | Q Loss: -2898492391424.0 | Steps: 1484
Episode: 122 | Reward: 9.0 | Q Loss: -2306547384320.0 | Steps: 1493
Episode: 123 | Reward: 10.0 | Q Loss: -1913976520704.0 | Steps: 1503
Episode: 124 | Reward: 10.0 | Q Loss: -1706452058112.0 | Steps: 1513
Episode: 125 | Reward: 10.0 | Q Loss: -3283207847936.0 | Steps: 1523
Episode: 126 | Reward: 8.0 | Q Loss: -2360128045056.0 | Steps: 1531
Episode: 127 | Reward: 10.0 | Q Loss: -2080367837184.0 | Steps: 1541
Episode: 128 | Reward: 9.0 | Q Loss: -2347297669120.0 | Steps: 1550
Episode: 129 | Reward: 10.0 | Q Loss: -2759916781568.0 | Steps: 1560
Episode: 130 | Reward: 8.0 | Q Loss: -2797863960576.0 | Steps: 1568
Episode: 131 | Reward: 9.0 | Q Loss: -1771031363584.0 | Steps: 1577
Episode: 132 | Reward: 9.0 | Q Loss: -2898720980992.0 | Steps: 1586
Episode: 133 | Reward: 10.0 | Q Loss: -2356247265280.0 | Steps: 1596
Episode: 134 | Reward: 9.0 | Q Loss: -2763922604032.0 | Steps: 1605
Episode: 135 | Reward: 10.0 | Q Loss: -3455461359616.0 | Steps: 1615
Episode: 136 | Reward: 10.0 | Q Loss: -2826908991488.0 | Steps: 1625
Episode: 137 | Reward: 9.0 | Q Loss: -2962138071040.0 | Steps: 1634
Episode: 138 | Reward: 9.0 | Q Loss: -2864591405056.0 | Steps: 1643
Episode: 139 | Reward: 9.0 | Q Loss: -2529459175424.0 | Steps: 1652
Episode: 140 | Reward: 9.0 | Q Loss: -3190020898816.0 | Steps: 1661
Episode: 141 | Reward: 10.0 | Q Loss: -4273384980480.0 | Steps: 1671
Episode: 142 | Reward: 9.0 | Q Loss: -4214601285632.0 | Steps: 1680
Episode: 143 | Reward: 9.0 | Q Loss: -2917487083520.0 | Steps: 1689
Episode: 144 | Reward: 8.0 | Q Loss: -3418444791808.0 | Steps: 1697
Episode: 145 | Reward: 8.0 | Q Loss: -3711894028288.0 | Steps: 1705
Episode: 146 | Reward: 9.0 | Q Loss: -4367090974720.0 | Steps: 1714
Episode: 147 | Reward: 10.0 | Q Loss: -4052993966080.0 | Steps: 1724
Episode: 148 | Reward: 9.0 | Q Loss: -3505739268096.0 | Steps: 1733
Episode: 149 | Reward: 9.0 | Q Loss: -5520810835968.0 | Steps: 1742
Episode: 150 | Reward: 10.0 | Q Loss: -4180331724800.0 | Steps: 1752
Episode: 151 | Reward: 10.0 | Q Loss: -5005077643264.0 | Steps: 1762
Episode: 152 | Reward: 10.0 | Q Loss: -4353359872000.0 | Steps: 1772
Episode: 153 | Reward: 11.0 | Q Loss: -4659871219712.0 | Steps: 1783
Episode: 154 | Reward: 8.0 | Q Loss: -5038329036800.0 | Steps: 1791
Episode: 155 | Reward: 8.0 | Q Loss: -6968977129472.0 | Steps: 1799
Episode: 156 | Reward: 8.0 | Q Loss: -4527196995584.0 | Steps: 1807
Episode: 157 | Reward: 10.0 | Q Loss: -5597533569024.0 | Steps: 1817
Episode: 158 | Reward: 8.0 | Q Loss: -6315876286464.0 | Steps: 1825
Episode: 159 | Reward: 10.0 | Q Loss: -5667633496064.0 | Steps: 1835
Episode: 160 | Reward: 10.0 | Q Loss: -6053155045376.0 | Steps: 1845
Episode: 161 | Reward: 10.0 | Q Loss: -6031729491968.0 | Steps: 1855
Episode: 162 | Reward: 10.0 | Q Loss: -5941150875648.0 | Steps: 1865
Episode: 163 | Reward: 10.0 | Q Loss: -6176432455680.0 | Steps: 1875
Episode: 164 | Reward: 10.0 | Q Loss: -8667523448832.0 | Steps: 1885
Episode: 165 | Reward: 9.0 | Q Loss: -6500237967360.0 | Steps: 1894
Episode: 166 | Reward: 9.0 | Q Loss: -7132879519744.0 | Steps: 1903
Episode: 167 | Reward: 9.0 | Q Loss: -5215567216640.0 | Steps: 1912
Episode: 168 | Reward: 10.0 | Q Loss: -6606048198656.0 | Steps: 1922
Episode: 169 | Reward: 9.0 | Q Loss: -6021371133952.0 | Steps: 1931
Episode: 170 | Reward: 9.0 | Q Loss: -6745575391232.0 | Steps: 1940
Episode: 171 | Reward: 8.0 | Q Loss: -9362206621696.0 | Steps: 1948
Episode: 172 | Reward: 9.0 | Q Loss: -6766396964864.0 | Steps: 1957
Episode: 173 | Reward: 10.0 | Q Loss: -6668529172480.0 | Steps: 1967
Episode: 174 | Reward: 9.0 | Q Loss: -8567932846080.0 | Steps: 1976
Episode: 175 | Reward: 11.0 | Q Loss: -8637322887168.0 | Steps: 1987
Episode: 176 | Reward: 10.0 | Q Loss: -9438027055104.0 | Steps: 1997
Episode: 177 | Reward: 10.0 | Q Loss: -8071076642816.0 | Steps: 2007
Episode: 178 | Reward: 9.0 | Q Loss: -9972741046272.0 | Steps: 2016
Episode: 179 | Reward: 9.0 | Q Loss: -7260349661184.0 | Steps: 2025
Episode: 180 | Reward: 10.0 | Q Loss: -12164681170944.0 | Steps: 2035
Episode: 181 | Reward: 9.0 | Q Loss: -10721681211392.0 | Steps: 2044
Episode: 182 | Reward: 10.0 | Q Loss: -14651186216960.0 | Steps: 2054
Episode: 183 | Reward: 9.0 | Q Loss: -10171992506368.0 | Steps: 2063
Episode: 184 | Reward: 10.0 | Q Loss: -9099777409024.0 | Steps: 2073
Episode: 185 | Reward: 10.0 | Q Loss: -12696104730624.0 | Steps: 2083
Episode: 186 | Reward: 11.0 | Q Loss: -9709223411712.0 | Steps: 2094
Episode: 187 | Reward: 9.0 | Q Loss: -13683642073088.0 | Steps: 2103
Episode: 188 | Reward: 10.0 | Q Loss: -14624795656192.0 | Steps: 2113
Episode: 189 | Reward: 27.0 | Q Loss: -12596931461120.0 | Steps: 2140
Episode: 190 | Reward: 15.0 | Q Loss: -11872990396416.0 | Steps: 2155
Episode: 191 | Reward: 9.0 | Q Loss: -13956316921856.0 | Steps: 2164
Episode: 192 | Reward: 9.0 | Q Loss: -11604723761152.0 | Steps: 2173
Episode: 193 | Reward: 9.0 | Q Loss: -9507645161472.0 | Steps: 2182
Episode: 194 | Reward: 8.0 | Q Loss: -8458185736192.0 | Steps: 2190
Episode: 195 | Reward: 10.0 | Q Loss: -13573401083904.0 | Steps: 2200
Episode: 196 | Reward: 11.0 | Q Loss: -14606047117312.0 | Steps: 2211
Episode: 197 | Reward: 10.0 | Q Loss: -17103077769216.0 | Steps: 2221
Episode: 198 | Reward: 9.0 | Q Loss: -15785127837696.0 | Steps: 2230
Episode: 199 | Reward: 9.0 | Q Loss: -9834319577088.0 | Steps: 2239
Episode: 200 | Reward: 8.0 | Q Loss: -12225250066432.0 | Steps: 2247
Episode: 201 | Reward: 10.0 | Q Loss: -13060150394880.0 | Steps: 2257
Episode: 202 | Reward: 10.0 | Q Loss: -18511747350528.0 | Steps: 2267
Episode: 203 | Reward: 10.0 | Q Loss: -11061906374656.0 | Steps: 2277
Episode: 204 | Reward: 10.0 | Q Loss: -17600958431232.0 | Steps: 2287
