/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 11.0 | Q Loss: 0.07017335295677185 | Steps: 11
Episode: 2 | Reward: 23.0 | Q Loss: 0.0022972836159169674 | Steps: 34
Episode: 3 | Reward: 15.0 | Q Loss: 0.0013280580751597881 | Steps: 49
Episode: 4 | Reward: 13.0 | Q Loss: 0.0004336137499194592 | Steps: 62
Episode: 5 | Reward: 14.0 | Q Loss: 0.00033618806628510356 | Steps: 76
Episode: 6 | Reward: 10.0 | Q Loss: 0.00023809065169189125 | Steps: 86
Episode: 7 | Reward: 50.0 | Q Loss: 0.0001737896673148498 | Steps: 136
Episode: 8 | Reward: 21.0 | Q Loss: 6.664992542937398e-05 | Steps: 157
Episode: 9 | Reward: 14.0 | Q Loss: 6.82075260556303e-05 | Steps: 171
Episode: 10 | Reward: 17.0 | Q Loss: 0.00011725455260602757 | Steps: 188
Episode: 11 | Reward: 19.0 | Q Loss: 0.0001315026602242142 | Steps: 207
Episode: 12 | Reward: 15.0 | Q Loss: 8.067192538874224e-05 | Steps: 222
Episode: 13 | Reward: 16.0 | Q Loss: 0.00020313018467277288 | Steps: 238
Episode: 14 | Reward: 26.0 | Q Loss: 7.396290311589837e-05 | Steps: 264
Episode: 15 | Reward: 12.0 | Q Loss: 4.503758100327104e-05 | Steps: 276
Episode: 16 | Reward: 10.0 | Q Loss: 7.04107660567388e-05 | Steps: 286
Episode: 17 | Reward: 11.0 | Q Loss: 0.00027048448100686073 | Steps: 297
Episode: 18 | Reward: 13.0 | Q Loss: 4.30055006290786e-05 | Steps: 310
Episode: 19 | Reward: 13.0 | Q Loss: 5.43268870387692e-05 | Steps: 323
Episode: 20 | Reward: 13.0 | Q Loss: 0.00010577439388725907 | Steps: 336
Episode: 21 | Reward: 14.0 | Q Loss: 9.2605798272416e-05 | Steps: 350
Episode: 22 | Reward: 14.0 | Q Loss: 8.661550236865878e-05 | Steps: 364
Episode: 23 | Reward: 11.0 | Q Loss: 6.846129690529779e-05 | Steps: 375
Episode: 24 | Reward: 17.0 | Q Loss: 0.00012545345816761255 | Steps: 392
Episode: 25 | Reward: 18.0 | Q Loss: 0.00012919360597152263 | Steps: 410
Episode: 26 | Reward: 20.0 | Q Loss: 0.00023677827266510576 | Steps: 430
Episode: 27 | Reward: 25.0 | Q Loss: 0.00016716477693989873 | Steps: 455
Episode: 28 | Reward: 14.0 | Q Loss: 0.00010680571722332388 | Steps: 469
Episode: 29 | Reward: 10.0 | Q Loss: 9.636757022235543e-05 | Steps: 479
Episode: 30 | Reward: 11.0 | Q Loss: 9.523855987936258e-05 | Steps: 490
Episode: 31 | Reward: 18.0 | Q Loss: 6.684775144094601e-05 | Steps: 508
Episode: 32 | Reward: 11.0 | Q Loss: 0.00038927997229620814 | Steps: 519
Episode: 33 | Reward: 10.0 | Q Loss: 0.0004262343281880021 | Steps: 529
Episode: 34 | Reward: 9.0 | Q Loss: 0.0003110721881967038 | Steps: 538
Episode: 35 | Reward: 19.0 | Q Loss: 5.4836160416016355e-05 | Steps: 557
Episode: 36 | Reward: 9.0 | Q Loss: 0.0009010311914607882 | Steps: 566
Episode: 37 | Reward: 11.0 | Q Loss: 0.0002122258738381788 | Steps: 577
Episode: 38 | Reward: 14.0 | Q Loss: 0.0002692762645892799 | Steps: 591
Episode: 39 | Reward: 15.0 | Q Loss: 0.00012843028525821865 | Steps: 606
Episode: 40 | Reward: 10.0 | Q Loss: 0.0011563600273802876 | Steps: 616
Episode: 41 | Reward: 12.0 | Q Loss: 0.000947586027905345 | Steps: 628
Episode: 42 | Reward: 9.0 | Q Loss: 0.0002658056328073144 | Steps: 637
Episode: 43 | Reward: 13.0 | Q Loss: 0.0010874902363866568 | Steps: 650
Episode: 44 | Reward: 10.0 | Q Loss: 0.0005270143738016486 | Steps: 660
Episode: 45 | Reward: 9.0 | Q Loss: 0.0010870614787563682 | Steps: 669
Episode: 46 | Reward: 18.0 | Q Loss: 0.0024458966217935085 | Steps: 687
Episode: 47 | Reward: 10.0 | Q Loss: 0.0007350768428295851 | Steps: 697
Episode: 48 | Reward: 16.0 | Q Loss: 0.0006140500772744417 | Steps: 713
Episode: 49 | Reward: 16.0 | Q Loss: 0.00043816951802000403 | Steps: 729
Episode: 50 | Reward: 9.0 | Q Loss: 0.0004060971550643444 | Steps: 738
Episode: 51 | Reward: 33.0 | Q Loss: 0.00024094784748740494 | Steps: 771
Episode: 52 | Reward: 19.0 | Q Loss: 0.001261211233213544 | Steps: 790
Episode: 53 | Reward: 23.0 | Q Loss: 0.0010736535768955946 | Steps: 813
Episode: 54 | Reward: 8.0 | Q Loss: 0.0005832919850945473 | Steps: 821
Episode: 55 | Reward: 10.0 | Q Loss: 0.001201497158035636 | Steps: 831
Episode: 56 | Reward: 9.0 | Q Loss: 0.0017291540279984474 | Steps: 840
Episode: 57 | Reward: 14.0 | Q Loss: 0.0008648054208606482 | Steps: 854
Episode: 58 | Reward: 27.0 | Q Loss: 0.0019292623037472367 | Steps: 881
Episode: 59 | Reward: 20.0 | Q Loss: 0.0003446537593845278 | Steps: 901
Episode: 60 | Reward: 29.0 | Q Loss: 0.0019142435630783439 | Steps: 930
Episode: 61 | Reward: 10.0 | Q Loss: 0.0006804518634453416 | Steps: 940
Episode: 62 | Reward: 9.0 | Q Loss: 0.0059130555018782616 | Steps: 949
Episode: 63 | Reward: 12.0 | Q Loss: 0.0008395819459110498 | Steps: 961
Episode: 64 | Reward: 19.0 | Q Loss: 0.002085526240989566 | Steps: 980
Episode: 65 | Reward: 19.0 | Q Loss: 0.0004776933346875012 | Steps: 999
Episode: 66 | Reward: 10.0 | Q Loss: 0.0024937703274190426 | Steps: 1009
Episode: 67 | Reward: 11.0 | Q Loss: 0.0015673323068767786 | Steps: 1020
Episode: 68 | Reward: 11.0 | Q Loss: 0.0030099686700850725 | Steps: 1031
Episode: 69 | Reward: 20.0 | Q Loss: 0.003166225040331483 | Steps: 1051
Episode: 70 | Reward: 20.0 | Q Loss: 0.004673246294260025 | Steps: 1071
Episode: 71 | Reward: 14.0 | Q Loss: 0.0008130367496050894 | Steps: 1085
Episode: 72 | Reward: 13.0 | Q Loss: 0.0008151211077347398 | Steps: 1098
Episode: 73 | Reward: 22.0 | Q Loss: 0.0036366013810038567 | Steps: 1120
Episode: 74 | Reward: 14.0 | Q Loss: 0.002430688589811325 | Steps: 1134
Episode: 75 | Reward: 24.0 | Q Loss: 0.003566240891814232 | Steps: 1158
Episode: 76 | Reward: 23.0 | Q Loss: 0.0023114350624382496 | Steps: 1181
Episode: 77 | Reward: 10.0 | Q Loss: 0.004304846283048391 | Steps: 1191
Episode: 78 | Reward: 22.0 | Q Loss: 0.0024032944347709417 | Steps: 1213
Episode: 79 | Reward: 13.0 | Q Loss: 0.004279247019439936 | Steps: 1226
Episode: 80 | Reward: 10.0 | Q Loss: 0.0029151742346584797 | Steps: 1236
Episode: 81 | Reward: 12.0 | Q Loss: 0.005135977640748024 | Steps: 1248
Episode: 82 | Reward: 10.0 | Q Loss: 0.002009333809837699 | Steps: 1258
Episode: 83 | Reward: 8.0 | Q Loss: 0.0052868956699967384 | Steps: 1266
Episode: 84 | Reward: 18.0 | Q Loss: 0.00810445100069046 | Steps: 1284
Episode: 85 | Reward: 21.0 | Q Loss: 0.0030959979631006718 | Steps: 1305
Episode: 86 | Reward: 18.0 | Q Loss: 0.0025593219324946404 | Steps: 1323
Episode: 87 | Reward: 27.0 | Q Loss: 0.0028531572315841913 | Steps: 1350
Episode: 88 | Reward: 19.0 | Q Loss: 0.007312108762562275 | Steps: 1369
Episode: 89 | Reward: 23.0 | Q Loss: 0.0032977815717458725 | Steps: 1392
Episode: 90 | Reward: 18.0 | Q Loss: 0.0012596502201631665 | Steps: 1410
Episode: 91 | Reward: 10.0 | Q Loss: 0.0033127570059150457 | Steps: 1420
Episode: 92 | Reward: 35.0 | Q Loss: 0.0007820666651241481 | Steps: 1455
Episode: 93 | Reward: 12.0 | Q Loss: 0.006390358787029982 | Steps: 1467
