/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 11.0 | Q Loss: 3.5474460124969482 | Steps: 11
Episode: 2 | Reward: 23.0 | Q Loss: 3.469111680984497 | Steps: 34
Episode: 3 | Reward: 15.0 | Q Loss: 3.468165636062622 | Steps: 49
Episode: 4 | Reward: 13.0 | Q Loss: 3.466132164001465 | Steps: 62
Episode: 5 | Reward: 14.0 | Q Loss: 3.4662883281707764 | Steps: 76
Episode: 6 | Reward: 10.0 | Q Loss: 3.466092348098755 | Steps: 86
Episode: 7 | Reward: 28.0 | Q Loss: 3.4661896228790283 | Steps: 114
Episode: 8 | Reward: 9.0 | Q Loss: 3.465963840484619 | Steps: 123
Episode: 9 | Reward: 20.0 | Q Loss: 3.465944290161133 | Steps: 143
Episode: 10 | Reward: 19.0 | Q Loss: 3.465942144393921 | Steps: 162
Episode: 11 | Reward: 13.0 | Q Loss: 3.465919256210327 | Steps: 175
Episode: 12 | Reward: 11.0 | Q Loss: 3.4659790992736816 | Steps: 186
Episode: 13 | Reward: 14.0 | Q Loss: 3.4660720825195312 | Steps: 200
Episode: 14 | Reward: 17.0 | Q Loss: 3.465831995010376 | Steps: 217
Episode: 15 | Reward: 14.0 | Q Loss: 3.465806245803833 | Steps: 231
Episode: 16 | Reward: 18.0 | Q Loss: 3.4659128189086914 | Steps: 249
Episode: 17 | Reward: 20.0 | Q Loss: 3.465937614440918 | Steps: 269
Episode: 18 | Reward: 35.0 | Q Loss: 3.4659276008605957 | Steps: 304
Episode: 19 | Reward: 34.0 | Q Loss: 3.46586537361145 | Steps: 338
Episode: 20 | Reward: 19.0 | Q Loss: 3.466010570526123 | Steps: 357
Episode: 21 | Reward: 16.0 | Q Loss: 3.465939998626709 | Steps: 373
Episode: 22 | Reward: 20.0 | Q Loss: 3.4658169746398926 | Steps: 393
Episode: 23 | Reward: 16.0 | Q Loss: 3.466090202331543 | Steps: 409
Episode: 24 | Reward: 19.0 | Q Loss: 3.465874671936035 | Steps: 428
Episode: 25 | Reward: 32.0 | Q Loss: 3.4660165309906006 | Steps: 460
Episode: 26 | Reward: 11.0 | Q Loss: 3.465837001800537 | Steps: 471
