/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 19.0 | Q Loss: 0.7100509405136108 | Steps: 19
Episode: 2 | Reward: 24.0 | Q Loss: 0.6997599601745605 | Steps: 43
Episode: 3 | Reward: 12.0 | Q Loss: 0.6942874193191528 | Steps: 55
Episode: 4 | Reward: 12.0 | Q Loss: 0.6935521364212036 | Steps: 67
Episode: 5 | Reward: 17.0 | Q Loss: 0.6933125257492065 | Steps: 84
Episode: 6 | Reward: 14.0 | Q Loss: 0.693288266658783 | Steps: 98
Episode: 7 | Reward: 11.0 | Q Loss: 0.6932871341705322 | Steps: 109
Episode: 8 | Reward: 21.0 | Q Loss: 0.6932386755943298 | Steps: 130
Episode: 9 | Reward: 12.0 | Q Loss: 0.6933559775352478 | Steps: 142
Episode: 10 | Reward: 21.0 | Q Loss: 0.693202555179596 | Steps: 163
Episode: 11 | Reward: 12.0 | Q Loss: 0.6932036280632019 | Steps: 175
Episode: 12 | Reward: 12.0 | Q Loss: 0.6932573318481445 | Steps: 187
Episode: 13 | Reward: 10.0 | Q Loss: 0.6934014558792114 | Steps: 197
Episode: 14 | Reward: 36.0 | Q Loss: 0.6932632327079773 | Steps: 233
Episode: 15 | Reward: 26.0 | Q Loss: 0.693260908126831 | Steps: 259
Episode: 16 | Reward: 21.0 | Q Loss: 0.6932213306427002 | Steps: 280
Episode: 17 | Reward: 10.0 | Q Loss: 0.6934463381767273 | Steps: 290
Episode: 18 | Reward: 11.0 | Q Loss: 0.6932390928268433 | Steps: 301
Episode: 19 | Reward: 13.0 | Q Loss: 0.6931889057159424 | Steps: 314
Episode: 20 | Reward: 23.0 | Q Loss: 0.6932673454284668 | Steps: 337
Episode: 21 | Reward: 17.0 | Q Loss: 0.6933106184005737 | Steps: 354
Episode: 22 | Reward: 13.0 | Q Loss: 0.6932403445243835 | Steps: 367
Episode: 23 | Reward: 26.0 | Q Loss: 0.693549633026123 | Steps: 393
Episode: 24 | Reward: 38.0 | Q Loss: 0.6934707760810852 | Steps: 431
Episode: 25 | Reward: 12.0 | Q Loss: 0.6931878924369812 | Steps: 443
Episode: 26 | Reward: 11.0 | Q Loss: 0.6933144927024841 | Steps: 454
Episode: 27 | Reward: 28.0 | Q Loss: 0.6933920979499817 | Steps: 482
Episode: 28 | Reward: 10.0 | Q Loss: 0.6936336159706116 | Steps: 492
Episode: 29 | Reward: 20.0 | Q Loss: 0.6943119168281555 | Steps: 512
Episode: 30 | Reward: 20.0 | Q Loss: 0.6936787366867065 | Steps: 532
Episode: 31 | Reward: 15.0 | Q Loss: 0.6937701106071472 | Steps: 547
Episode: 32 | Reward: 38.0 | Q Loss: 0.6932650804519653 | Steps: 585
Episode: 33 | Reward: 18.0 | Q Loss: 0.6935749053955078 | Steps: 603
Episode: 34 | Reward: 11.0 | Q Loss: 0.6940630078315735 | Steps: 614
Episode: 35 | Reward: 24.0 | Q Loss: 0.6935122013092041 | Steps: 638
Episode: 36 | Reward: 11.0 | Q Loss: 0.6938363909721375 | Steps: 649
