/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 10.0 | Q Loss: 0.7391655445098877 | Steps: 10
Episode: 2 | Reward: 26.0 | Q Loss: 0.695065975189209 | Steps: 36
Episode: 3 | Reward: 17.0 | Q Loss: 0.6942316889762878 | Steps: 53
Episode: 4 | Reward: 12.0 | Q Loss: 0.6936492323875427 | Steps: 65
Episode: 5 | Reward: 16.0 | Q Loss: 0.6940780878067017 | Steps: 81
Episode: 6 | Reward: 19.0 | Q Loss: 0.6932980418205261 | Steps: 100
Episode: 7 | Reward: 15.0 | Q Loss: 0.6933184266090393 | Steps: 115
Episode: 8 | Reward: 12.0 | Q Loss: 0.6933464407920837 | Steps: 127
Episode: 9 | Reward: 16.0 | Q Loss: 0.693610429763794 | Steps: 143
Episode: 10 | Reward: 16.0 | Q Loss: 0.6933661699295044 | Steps: 159
Episode: 11 | Reward: 13.0 | Q Loss: 0.6932996511459351 | Steps: 172
Episode: 12 | Reward: 14.0 | Q Loss: 0.6933462619781494 | Steps: 186
Episode: 13 | Reward: 19.0 | Q Loss: 0.6933434009552002 | Steps: 205
Episode: 14 | Reward: 17.0 | Q Loss: 0.6934530138969421 | Steps: 222
Episode: 15 | Reward: 15.0 | Q Loss: 0.693456768989563 | Steps: 237
Episode: 16 | Reward: 25.0 | Q Loss: 0.6932896971702576 | Steps: 262
Episode: 17 | Reward: 49.0 | Q Loss: 0.6932973861694336 | Steps: 311
Episode: 18 | Reward: 20.0 | Q Loss: 0.6932424902915955 | Steps: 331
Episode: 19 | Reward: 11.0 | Q Loss: 0.693311333656311 | Steps: 342
Episode: 20 | Reward: 11.0 | Q Loss: 0.6932518482208252 | Steps: 353
Episode: 21 | Reward: 44.0 | Q Loss: 0.6931837201118469 | Steps: 397
Episode: 22 | Reward: 24.0 | Q Loss: 0.6934269666671753 | Steps: 421
Episode: 23 | Reward: 15.0 | Q Loss: 0.6932958364486694 | Steps: 436
Episode: 24 | Reward: 20.0 | Q Loss: 0.6934208273887634 | Steps: 456
Episode: 25 | Reward: 17.0 | Q Loss: 0.6933496594429016 | Steps: 473
Episode: 26 | Reward: 13.0 | Q Loss: 0.6935263276100159 | Steps: 486
Episode: 27 | Reward: 13.0 | Q Loss: 0.6933013796806335 | Steps: 499
Episode: 28 | Reward: 9.0 | Q Loss: 0.693625271320343 | Steps: 508
Episode: 29 | Reward: 9.0 | Q Loss: 0.6935740113258362 | Steps: 517
Episode: 30 | Reward: 19.0 | Q Loss: 0.6935638189315796 | Steps: 536
Episode: 31 | Reward: 12.0 | Q Loss: 0.6933992505073547 | Steps: 548
Episode: 32 | Reward: 10.0 | Q Loss: 0.6932727098464966 | Steps: 558
Episode: 33 | Reward: 20.0 | Q Loss: 0.6934618353843689 | Steps: 578
Episode: 34 | Reward: 25.0 | Q Loss: 0.6932632327079773 | Steps: 603
Episode: 35 | Reward: 18.0 | Q Loss: 0.6934827566146851 | Steps: 621
Episode: 36 | Reward: 10.0 | Q Loss: 0.6938185691833496 | Steps: 631
Episode: 37 | Reward: 23.0 | Q Loss: 0.6933857798576355 | Steps: 654
Episode: 38 | Reward: 20.0 | Q Loss: 0.6939027905464172 | Steps: 674
Episode: 39 | Reward: 25.0 | Q Loss: 0.6935910582542419 | Steps: 699
Episode: 40 | Reward: 10.0 | Q Loss: 0.6940170526504517 | Steps: 709
Episode: 41 | Reward: 46.0 | Q Loss: 0.6933048367500305 | Steps: 755
Episode: 42 | Reward: 46.0 | Q Loss: 0.6936904788017273 | Steps: 801
Episode: 43 | Reward: 13.0 | Q Loss: 0.6945697069168091 | Steps: 814
Episode: 44 | Reward: 43.0 | Q Loss: 0.6939852833747864 | Steps: 857
Episode: 45 | Reward: 25.0 | Q Loss: 0.6939356923103333 | Steps: 882
Episode: 46 | Reward: 16.0 | Q Loss: 0.6936189532279968 | Steps: 898
Episode: 47 | Reward: 16.0 | Q Loss: 0.6938207149505615 | Steps: 914
Episode: 48 | Reward: 18.0 | Q Loss: 0.6953751444816589 | Steps: 932
Episode: 49 | Reward: 18.0 | Q Loss: 0.6940592527389526 | Steps: 950
Episode: 50 | Reward: 16.0 | Q Loss: 0.6954789161682129 | Steps: 966
Episode: 51 | Reward: 32.0 | Q Loss: 0.6948285102844238 | Steps: 998
Episode: 52 | Reward: 23.0 | Q Loss: 0.6936928033828735 | Steps: 1021
Episode: 53 | Reward: 20.0 | Q Loss: 0.694679856300354 | Steps: 1041
Episode: 54 | Reward: 20.0 | Q Loss: 0.6954065561294556 | Steps: 1061
Episode: 55 | Reward: 17.0 | Q Loss: 0.6954934597015381 | Steps: 1078
Episode: 56 | Reward: 21.0 | Q Loss: 0.6941642761230469 | Steps: 1099
Episode: 57 | Reward: 15.0 | Q Loss: 0.694657027721405 | Steps: 1114
Episode: 58 | Reward: 8.0 | Q Loss: 0.694506049156189 | Steps: 1122
Episode: 59 | Reward: 20.0 | Q Loss: 0.6958079934120178 | Steps: 1142
Episode: 60 | Reward: 43.0 | Q Loss: 0.6955326795578003 | Steps: 1185
Episode: 61 | Reward: 27.0 | Q Loss: 0.6959685683250427 | Steps: 1212
