/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 15.0 | Q Loss: 0.7493672370910645 | Steps: 15
Episode: 2 | Reward: 18.0 | Q Loss: 0.6978138089179993 | Steps: 33
Episode: 3 | Reward: 21.0 | Q Loss: 0.6942651271820068 | Steps: 54
Episode: 4 | Reward: 14.0 | Q Loss: 0.6936466693878174 | Steps: 68
Episode: 5 | Reward: 24.0 | Q Loss: 0.693221390247345 | Steps: 92
Episode: 6 | Reward: 13.0 | Q Loss: 0.693403422832489 | Steps: 105
Episode: 7 | Reward: 50.0 | Q Loss: 0.6931895017623901 | Steps: 155
Episode: 8 | Reward: 79.0 | Q Loss: 0.6931890845298767 | Steps: 234
Episode: 9 | Reward: 16.0 | Q Loss: 0.6931991577148438 | Steps: 250
Episode: 10 | Reward: 42.0 | Q Loss: 0.693193256855011 | Steps: 292
Episode: 11 | Reward: 18.0 | Q Loss: 0.6931788921356201 | Steps: 310
Episode: 12 | Reward: 19.0 | Q Loss: 0.6931637525558472 | Steps: 329
Episode: 13 | Reward: 59.0 | Q Loss: 0.6931980848312378 | Steps: 388
Episode: 14 | Reward: 57.0 | Q Loss: 0.6931830048561096 | Steps: 445
Episode: 15 | Reward: 26.0 | Q Loss: 0.6931660771369934 | Steps: 471
Episode: 16 | Reward: 33.0 | Q Loss: 0.6932172775268555 | Steps: 504
Episode: 17 | Reward: 15.0 | Q Loss: 0.6932150721549988 | Steps: 519
Episode: 18 | Reward: 16.0 | Q Loss: 0.6932028532028198 | Steps: 535
Episode: 19 | Reward: 41.0 | Q Loss: 0.6932299733161926 | Steps: 576
Episode: 20 | Reward: 31.0 | Q Loss: 0.693274736404419 | Steps: 607
Episode: 21 | Reward: 20.0 | Q Loss: 0.6935031414031982 | Steps: 627
Episode: 22 | Reward: 27.0 | Q Loss: 0.6933967471122742 | Steps: 654
Episode: 23 | Reward: 25.0 | Q Loss: 0.6933412551879883 | Steps: 679
Episode: 24 | Reward: 10.0 | Q Loss: 0.6934666633605957 | Steps: 689
Episode: 25 | Reward: 13.0 | Q Loss: 0.6933372616767883 | Steps: 702
Episode: 26 | Reward: 44.0 | Q Loss: 0.6941657662391663 | Steps: 746
Episode: 27 | Reward: 15.0 | Q Loss: 0.6938983798027039 | Steps: 761
Episode: 28 | Reward: 12.0 | Q Loss: 0.6935269832611084 | Steps: 773
Episode: 29 | Reward: 11.0 | Q Loss: 0.6932672262191772 | Steps: 784
Episode: 30 | Reward: 16.0 | Q Loss: 0.6934704780578613 | Steps: 800
Episode: 31 | Reward: 13.0 | Q Loss: 0.6938140988349915 | Steps: 813
Episode: 32 | Reward: 18.0 | Q Loss: 0.6938738226890564 | Steps: 831
Episode: 33 | Reward: 16.0 | Q Loss: 0.6937961578369141 | Steps: 847
Episode: 34 | Reward: 26.0 | Q Loss: 0.6933088898658752 | Steps: 873
Episode: 35 | Reward: 25.0 | Q Loss: 0.6942854523658752 | Steps: 898
Episode: 36 | Reward: 11.0 | Q Loss: 0.6945679783821106 | Steps: 909
Episode: 37 | Reward: 9.0 | Q Loss: 0.6937068700790405 | Steps: 918
Episode: 38 | Reward: 33.0 | Q Loss: 0.6937669515609741 | Steps: 951
Episode: 39 | Reward: 10.0 | Q Loss: 0.6942058205604553 | Steps: 961
Episode: 40 | Reward: 18.0 | Q Loss: 0.6945933699607849 | Steps: 979
Episode: 41 | Reward: 10.0 | Q Loss: 0.6951447129249573 | Steps: 989
Episode: 42 | Reward: 13.0 | Q Loss: 0.6936188340187073 | Steps: 1002
Episode: 43 | Reward: 17.0 | Q Loss: 0.6949365139007568 | Steps: 1019
Episode: 44 | Reward: 22.0 | Q Loss: 0.6948118209838867 | Steps: 1041
Episode: 45 | Reward: 17.0 | Q Loss: 0.694281816482544 | Steps: 1058
Episode: 46 | Reward: 9.0 | Q Loss: 0.6956778168678284 | Steps: 1067
Episode: 47 | Reward: 30.0 | Q Loss: 0.6956549286842346 | Steps: 1097
Episode: 48 | Reward: 26.0 | Q Loss: 0.6961049437522888 | Steps: 1123
Episode: 49 | Reward: 25.0 | Q Loss: 0.695080041885376 | Steps: 1148
Episode: 50 | Reward: 16.0 | Q Loss: 0.6952164769172668 | Steps: 1164
Episode: 51 | Reward: 30.0 | Q Loss: 0.6946622133255005 | Steps: 1194
Episode: 52 | Reward: 18.0 | Q Loss: 0.6944111585617065 | Steps: 1212
Episode: 53 | Reward: 43.0 | Q Loss: 0.6943671107292175 | Steps: 1255
Episode: 54 | Reward: 16.0 | Q Loss: 0.6942178606987 | Steps: 1271
Episode: 55 | Reward: 35.0 | Q Loss: 0.6970970034599304 | Steps: 1306
Episode: 56 | Reward: 16.0 | Q Loss: 0.694915771484375 | Steps: 1322
Episode: 57 | Reward: 17.0 | Q Loss: 0.6958141326904297 | Steps: 1339
