/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 16.0 | Polciy Loss: -0.9717347621917725 | Steps: 16
Episode: 2 | Reward: 62.0 | Polciy Loss: -1.755302906036377 | Steps: 78
Episode: 3 | Reward: 20.0 | Polciy Loss: -1.797215461730957 | Steps: 98
Episode: 4 | Reward: 13.0 | Polciy Loss: -1.8362984657287598 | Steps: 111
Episode: 5 | Reward: 25.0 | Polciy Loss: -1.8697233200073242 | Steps: 136
Episode: 6 | Reward: 13.0 | Polciy Loss: -1.8966110944747925 | Steps: 149
Episode: 7 | Reward: 13.0 | Polciy Loss: -1.9162167310714722 | Steps: 162
Episode: 8 | Reward: 34.0 | Polciy Loss: -1.9742457866668701 | Steps: 196
Episode: 9 | Reward: 14.0 | Polciy Loss: -2.029412269592285 | Steps: 210
Episode: 10 | Reward: 43.0 | Polciy Loss: -2.108297824859619 | Steps: 253
Episode: 11 | Reward: 9.0 | Polciy Loss: -2.136326789855957 | Steps: 262
Episode: 12 | Reward: 36.0 | Polciy Loss: -2.1958940029144287 | Steps: 298
Episode: 13 | Reward: 81.0 | Polciy Loss: -2.365795612335205 | Steps: 379
Episode: 14 | Reward: 19.0 | Polciy Loss: -2.418062686920166 | Steps: 398
Episode: 15 | Reward: 23.0 | Polciy Loss: -2.473600387573242 | Steps: 421
Episode: 16 | Reward: 15.0 | Polciy Loss: -2.513437032699585 | Steps: 436
Episode: 17 | Reward: 23.0 | Polciy Loss: -2.5575695037841797 | Steps: 459
Episode: 18 | Reward: 29.0 | Polciy Loss: -2.5994319915771484 | Steps: 488
Episode: 19 | Reward: 10.0 | Polciy Loss: -2.670854330062866 | Steps: 498
Episode: 20 | Reward: 16.0 | Polciy Loss: -2.67220139503479 | Steps: 514
Episode: 21 | Reward: 15.0 | Polciy Loss: -2.6944727897644043 | Steps: 529
Episode: 22 | Reward: 16.0 | Polciy Loss: -2.7280049324035645 | Steps: 545
Episode: 23 | Reward: 21.0 | Polciy Loss: -2.782113552093506 | Steps: 566
Episode: 24 | Reward: 21.0 | Polciy Loss: -2.8145623207092285 | Steps: 587
Episode: 25 | Reward: 19.0 | Polciy Loss: -2.8042917251586914 | Steps: 606
Episode: 26 | Reward: 12.0 | Polciy Loss: -2.8878843784332275 | Steps: 618
Episode: 27 | Reward: 13.0 | Polciy Loss: -2.891831636428833 | Steps: 631
Episode: 28 | Reward: 30.0 | Polciy Loss: -2.9772706031799316 | Steps: 661
Episode: 29 | Reward: 20.0 | Polciy Loss: -3.0000181198120117 | Steps: 681
Episode: 30 | Reward: 31.0 | Polciy Loss: -3.0487546920776367 | Steps: 712
Episode: 31 | Reward: 11.0 | Polciy Loss: -3.045030117034912 | Steps: 723
Episode: 32 | Reward: 16.0 | Polciy Loss: -3.013388156890869 | Steps: 739
Episode: 33 | Reward: 14.0 | Polciy Loss: -3.0645647048950195 | Steps: 753
Episode: 34 | Reward: 11.0 | Polciy Loss: -3.062267303466797 | Steps: 764
Episode: 35 | Reward: 16.0 | Polciy Loss: -3.1248459815979004 | Steps: 780
Episode: 36 | Reward: 20.0 | Polciy Loss: -3.159780979156494 | Steps: 800
Episode: 37 | Reward: 19.0 | Polciy Loss: -3.2540488243103027 | Steps: 819
Episode: 38 | Reward: 13.0 | Polciy Loss: -3.202122211456299 | Steps: 832
Episode: 39 | Reward: 11.0 | Polciy Loss: -3.163316249847412 | Steps: 843
Episode: 40 | Reward: 17.0 | Polciy Loss: -3.3181376457214355 | Steps: 860
Episode: 41 | Reward: 11.0 | Polciy Loss: -3.3241734504699707 | Steps: 871
Episode: 42 | Reward: 11.0 | Polciy Loss: -3.2569799423217773 | Steps: 882
Episode: 43 | Reward: 15.0 | Polciy Loss: -3.2658610343933105 | Steps: 897
Episode: 44 | Reward: 17.0 | Polciy Loss: -3.303818702697754 | Steps: 914
Episode: 45 | Reward: 18.0 | Polciy Loss: -3.3716492652893066 | Steps: 932
Episode: 46 | Reward: 24.0 | Polciy Loss: -3.448737621307373 | Steps: 956
Episode: 47 | Reward: 17.0 | Polciy Loss: -3.388619899749756 | Steps: 973
Episode: 48 | Reward: 26.0 | Polciy Loss: -3.446683406829834 | Steps: 999
Episode: 49 | Reward: 16.0 | Polciy Loss: -3.4418540000915527 | Steps: 1015
Episode: 50 | Reward: 14.0 | Polciy Loss: -3.4248595237731934 | Steps: 1029
Episode: 51 | Reward: 20.0 | Polciy Loss: -3.510591983795166 | Steps: 1049
Episode: 52 | Reward: 12.0 | Polciy Loss: -3.570794105529785 | Steps: 1061
Episode: 53 | Reward: 17.0 | Polciy Loss: -3.450812339782715 | Steps: 1078
Episode: 54 | Reward: 11.0 | Polciy Loss: -3.5435473918914795 | Steps: 1089
Episode: 55 | Reward: 13.0 | Polciy Loss: -3.6270852088928223 | Steps: 1102
Episode: 56 | Reward: 12.0 | Polciy Loss: -3.579115867614746 | Steps: 1114
Episode: 57 | Reward: 21.0 | Polciy Loss: -3.6505239009857178 | Steps: 1135
Episode: 58 | Reward: 16.0 | Polciy Loss: -3.6543660163879395 | Steps: 1151
Episode: 59 | Reward: 13.0 | Polciy Loss: -3.530015468597412 | Steps: 1164
Episode: 60 | Reward: 16.0 | Polciy Loss: -3.697086811065674 | Steps: 1180
Episode: 61 | Reward: 13.0 | Polciy Loss: -3.6653168201446533 | Steps: 1193
Episode: 62 | Reward: 17.0 | Polciy Loss: -3.654963493347168 | Steps: 1210
Episode: 63 | Reward: 16.0 | Polciy Loss: -3.6278443336486816 | Steps: 1226
Episode: 64 | Reward: 19.0 | Polciy Loss: -3.6934359073638916 | Steps: 1245
Episode: 65 | Reward: 10.0 | Polciy Loss: -3.7230515480041504 | Steps: 1255
Episode: 66 | Reward: 20.0 | Polciy Loss: -3.772256851196289 | Steps: 1275
Episode: 67 | Reward: 16.0 | Polciy Loss: -3.759528398513794 | Steps: 1291
Episode: 68 | Reward: 10.0 | Polciy Loss: -3.74334979057312 | Steps: 1301
