2021-10-14 18:51:02,190 INFO    MainThread:18881 [wandb_setup.py:_flush():70] setting env: {}
2021-10-14 18:51:02,191 INFO    MainThread:18881 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-14 18:51:02,191 INFO    MainThread:18881 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-14 18:51:02,191 INFO    MainThread:18881 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-SAC-discrete/wandb/run-20211014_185102-2my1dnor/logs/debug.log
2021-10-14 18:51:02,191 INFO    MainThread:18881 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-SAC-discrete/wandb/run-20211014_185102-2my1dnor/logs/debug-internal.log
2021-10-14 18:51:03,145 INFO    MainThread:18881 [wandb_run.py:_console_start():1218] atexit reg
2021-10-14 18:51:03,146 INFO    MainThread:18881 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-14 18:51:03,147 INFO    MainThread:18881 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-14 18:51:03,147 INFO    MainThread:18881 [redirect.py:install():204] install start
2021-10-14 18:51:03,147 INFO    MainThread:18881 [redirect.py:install():219] install stop
2021-10-14 18:51:03,147 INFO    MainThread:18881 [redirect.py:install():204] install start
2021-10-14 18:51:03,148 INFO    MainThread:18881 [redirect.py:install():219] install stop
2021-10-14 18:51:03,148 INFO    MainThread:18881 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-14 18:51:05,364 INFO    MainThread:18881 [wandb_watch.py:watch():35] Watching
2021-10-14 18:51:57,150 INFO    MainThread:18881 [wandb_run.py:finish():912] finishing run sebastian-dittert/CQL/2my1dnor
