/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 13.0 | Polciy Loss: -0.870935320854187 | Steps: 13
Episode: 2 | Reward: 9.0 | Polciy Loss: -1.2317030429840088 | Steps: 22
Episode: 3 | Reward: 19.0 | Polciy Loss: -1.809920310974121 | Steps: 41
Episode: 4 | Reward: 54.0 | Polciy Loss: -1.9836223125457764 | Steps: 95
Episode: 5 | Reward: 15.0 | Polciy Loss: -2.058894395828247 | Steps: 110
Episode: 6 | Reward: 32.0 | Polciy Loss: -2.2152881622314453 | Steps: 142
Episode: 7 | Reward: 9.0 | Polciy Loss: -2.264828681945801 | Steps: 151
Episode: 8 | Reward: 10.0 | Polciy Loss: -2.2856807708740234 | Steps: 161
Episode: 9 | Reward: 42.0 | Polciy Loss: -2.4888391494750977 | Steps: 203
Episode: 10 | Reward: 21.0 | Polciy Loss: -2.6354904174804688 | Steps: 224
Episode: 11 | Reward: 28.0 | Polciy Loss: -2.7551686763763428 | Steps: 252
Episode: 12 | Reward: 16.0 | Polciy Loss: -2.7754180431365967 | Steps: 268
Episode: 13 | Reward: 13.0 | Polciy Loss: -2.889319658279419 | Steps: 281
Episode: 14 | Reward: 13.0 | Polciy Loss: -2.945897340774536 | Steps: 294
Episode: 15 | Reward: 57.0 | Polciy Loss: -3.2086920738220215 | Steps: 351
Episode: 16 | Reward: 12.0 | Polciy Loss: -3.1996822357177734 | Steps: 363
Episode: 17 | Reward: 15.0 | Polciy Loss: -3.27730655670166 | Steps: 378
Episode: 18 | Reward: 21.0 | Polciy Loss: -3.3543448448181152 | Steps: 399
Episode: 19 | Reward: 30.0 | Polciy Loss: -3.5178627967834473 | Steps: 429
Episode: 20 | Reward: 42.0 | Polciy Loss: -3.612623929977417 | Steps: 471
Episode: 21 | Reward: 31.0 | Polciy Loss: -3.7360644340515137 | Steps: 502
Episode: 22 | Reward: 23.0 | Polciy Loss: -3.8080966472625732 | Steps: 525
Episode: 23 | Reward: 42.0 | Polciy Loss: -4.01995849609375 | Steps: 567
Episode: 24 | Reward: 18.0 | Polciy Loss: -4.004772663116455 | Steps: 585
Episode: 25 | Reward: 20.0 | Polciy Loss: -4.076064586639404 | Steps: 605
Episode: 26 | Reward: 11.0 | Polciy Loss: -4.09333610534668 | Steps: 616
Episode: 27 | Reward: 30.0 | Polciy Loss: -4.132362365722656 | Steps: 646
Episode: 28 | Reward: 17.0 | Polciy Loss: -4.198807716369629 | Steps: 663
Episode: 29 | Reward: 25.0 | Polciy Loss: -4.233050346374512 | Steps: 688
Episode: 30 | Reward: 15.0 | Polciy Loss: -4.435001850128174 | Steps: 703
Episode: 31 | Reward: 11.0 | Polciy Loss: -4.26673698425293 | Steps: 714
Episode: 32 | Reward: 14.0 | Polciy Loss: -4.403353691101074 | Steps: 728
Episode: 33 | Reward: 13.0 | Polciy Loss: -4.310013771057129 | Steps: 741
Episode: 34 | Reward: 13.0 | Polciy Loss: -4.4876298904418945 | Steps: 754
Episode: 35 | Reward: 12.0 | Polciy Loss: -4.428919792175293 | Steps: 766
Episode: 36 | Reward: 11.0 | Polciy Loss: -4.438737392425537 | Steps: 777
Episode: 37 | Reward: 24.0 | Polciy Loss: -4.568059921264648 | Steps: 801
Episode: 38 | Reward: 20.0 | Polciy Loss: -4.539918422698975 | Steps: 821
Episode: 39 | Reward: 16.0 | Polciy Loss: -4.621641159057617 | Steps: 837
Episode: 40 | Reward: 20.0 | Polciy Loss: -4.63383150100708 | Steps: 857
Episode: 41 | Reward: 30.0 | Polciy Loss: -4.690863132476807 | Steps: 887
Episode: 42 | Reward: 16.0 | Polciy Loss: -4.745306015014648 | Steps: 903
Episode: 43 | Reward: 33.0 | Polciy Loss: -4.790596008300781 | Steps: 936
Episode: 44 | Reward: 30.0 | Polciy Loss: -4.780494689941406 | Steps: 966
Episode: 45 | Reward: 25.0 | Polciy Loss: -5.08528470993042 | Steps: 991
Episode: 46 | Reward: 26.0 | Polciy Loss: -4.953103065490723 | Steps: 1017
Episode: 47 | Reward: 35.0 | Polciy Loss: -4.966320991516113 | Steps: 1052
Episode: 48 | Reward: 13.0 | Polciy Loss: -4.975976943969727 | Steps: 1065
Episode: 49 | Reward: 23.0 | Polciy Loss: -5.022830486297607 | Steps: 1088
Episode: 50 | Reward: 30.0 | Polciy Loss: -5.227904319763184 | Steps: 1118
Episode: 51 | Reward: 35.0 | Polciy Loss: -5.109736919403076 | Steps: 1153
Episode: 52 | Reward: 15.0 | Polciy Loss: -5.205869674682617 | Steps: 1168
Episode: 53 | Reward: 48.0 | Polciy Loss: -5.366787910461426 | Steps: 1216
Episode: 54 | Reward: 33.0 | Polciy Loss: -5.406928062438965 | Steps: 1249
Episode: 55 | Reward: 26.0 | Polciy Loss: -5.249015808105469 | Steps: 1275
Episode: 56 | Reward: 31.0 | Polciy Loss: -5.285555839538574 | Steps: 1306
Episode: 57 | Reward: 32.0 | Polciy Loss: -5.538081169128418 | Steps: 1338
Episode: 58 | Reward: 86.0 | Polciy Loss: -5.634877681732178 | Steps: 1424
Episode: 59 | Reward: 72.0 | Polciy Loss: -5.578958988189697 | Steps: 1496
Episode: 60 | Reward: 116.0 | Polciy Loss: -5.95466947555542 | Steps: 1612
Episode: 61 | Reward: 97.0 | Polciy Loss: -5.972975730895996 | Steps: 1709
