2021-10-14 18:58:04,302 INFO    MainThread:19618 [wandb_setup.py:_flush():70] setting env: {}
2021-10-14 18:58:04,303 INFO    MainThread:19618 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-14 18:58:04,303 INFO    MainThread:19618 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-14 18:58:04,304 INFO    MainThread:19618 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-SAC-discrete/wandb/run-20211014_185804-1sqiczht/logs/debug.log
2021-10-14 18:58:04,304 INFO    MainThread:19618 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-SAC-discrete/wandb/run-20211014_185804-1sqiczht/logs/debug-internal.log
2021-10-14 18:58:05,510 INFO    MainThread:19618 [wandb_run.py:_console_start():1218] atexit reg
2021-10-14 18:58:05,511 INFO    MainThread:19618 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-14 18:58:05,511 INFO    MainThread:19618 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-14 18:58:05,511 INFO    MainThread:19618 [redirect.py:install():204] install start
2021-10-14 18:58:05,512 INFO    MainThread:19618 [redirect.py:install():219] install stop
2021-10-14 18:58:05,512 INFO    MainThread:19618 [redirect.py:install():204] install start
2021-10-14 18:58:05,512 INFO    MainThread:19618 [redirect.py:install():219] install stop
2021-10-14 18:58:05,512 INFO    MainThread:19618 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-14 18:58:07,921 INFO    MainThread:19618 [wandb_watch.py:watch():35] Watching
2021-10-14 19:03:27,278 INFO    MainThread:19618 [wandb_run.py:finish():912] finishing run sebastian-dittert/CQL/1sqiczht
