/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 13.0 | Polciy Loss: -0.8688732385635376 | Steps: 13
Episode: 2 | Reward: 9.0 | Polciy Loss: -1.2375011444091797 | Steps: 22
Episode: 3 | Reward: 15.0 | Polciy Loss: -1.9504547119140625 | Steps: 37
Episode: 4 | Reward: 44.0 | Polciy Loss: -1.9265438318252563 | Steps: 81
Episode: 5 | Reward: 30.0 | Polciy Loss: -2.0704245567321777 | Steps: 111
Episode: 6 | Reward: 53.0 | Polciy Loss: -2.3255412578582764 | Steps: 164
Episode: 7 | Reward: 9.0 | Polciy Loss: -2.367893934249878 | Steps: 173
Episode: 8 | Reward: 58.0 | Polciy Loss: -2.6816301345825195 | Steps: 231
Episode: 9 | Reward: 15.0 | Polciy Loss: -2.729948043823242 | Steps: 246
Episode: 10 | Reward: 9.0 | Polciy Loss: -2.8039050102233887 | Steps: 255
Episode: 11 | Reward: 45.0 | Polciy Loss: -2.9553356170654297 | Steps: 300
Episode: 12 | Reward: 17.0 | Polciy Loss: -3.037606716156006 | Steps: 317
Episode: 13 | Reward: 24.0 | Polciy Loss: -3.1688790321350098 | Steps: 341
Episode: 14 | Reward: 23.0 | Polciy Loss: -3.301631450653076 | Steps: 364
Episode: 15 | Reward: 19.0 | Polciy Loss: -3.3123812675476074 | Steps: 383
Episode: 16 | Reward: 15.0 | Polciy Loss: -3.3854784965515137 | Steps: 398
Episode: 17 | Reward: 43.0 | Polciy Loss: -3.596454620361328 | Steps: 441
Episode: 18 | Reward: 28.0 | Polciy Loss: -3.6196541786193848 | Steps: 469
Episode: 19 | Reward: 49.0 | Polciy Loss: -3.875379800796509 | Steps: 518
Episode: 20 | Reward: 16.0 | Polciy Loss: -3.7843267917633057 | Steps: 534
Episode: 21 | Reward: 17.0 | Polciy Loss: -4.006491661071777 | Steps: 551
Episode: 22 | Reward: 14.0 | Polciy Loss: -3.965864896774292 | Steps: 565
Episode: 23 | Reward: 60.0 | Polciy Loss: -4.170838832855225 | Steps: 625
Episode: 24 | Reward: 28.0 | Polciy Loss: -4.169853210449219 | Steps: 653
Episode: 25 | Reward: 21.0 | Polciy Loss: -4.105779647827148 | Steps: 674
Episode: 26 | Reward: 22.0 | Polciy Loss: -4.32029914855957 | Steps: 696
Episode: 27 | Reward: 13.0 | Polciy Loss: -4.33543062210083 | Steps: 709
Episode: 28 | Reward: 39.0 | Polciy Loss: -4.381592750549316 | Steps: 748
Episode: 29 | Reward: 16.0 | Polciy Loss: -4.416759014129639 | Steps: 764
Episode: 30 | Reward: 19.0 | Polciy Loss: -4.554161071777344 | Steps: 783
Episode: 31 | Reward: 48.0 | Polciy Loss: -4.7043843269348145 | Steps: 831
Episode: 32 | Reward: 35.0 | Polciy Loss: -4.674516201019287 | Steps: 866
Episode: 33 | Reward: 52.0 | Polciy Loss: -4.856342315673828 | Steps: 918
Episode: 34 | Reward: 40.0 | Polciy Loss: -4.916466236114502 | Steps: 958
Episode: 35 | Reward: 52.0 | Polciy Loss: -5.154290199279785 | Steps: 1010
Episode: 36 | Reward: 46.0 | Polciy Loss: -5.093478202819824 | Steps: 1056
Episode: 37 | Reward: 32.0 | Polciy Loss: -5.301244735717773 | Steps: 1088
Episode: 38 | Reward: 56.0 | Polciy Loss: -5.319057464599609 | Steps: 1144
Episode: 39 | Reward: 33.0 | Polciy Loss: -5.241776466369629 | Steps: 1177
Episode: 40 | Reward: 42.0 | Polciy Loss: -5.580378532409668 | Steps: 1219
Episode: 41 | Reward: 34.0 | Polciy Loss: -5.598608493804932 | Steps: 1253
Episode: 42 | Reward: 63.0 | Polciy Loss: -5.6620330810546875 | Steps: 1316
Episode: 43 | Reward: 77.0 | Polciy Loss: -5.936652183532715 | Steps: 1393
Episode: 44 | Reward: 43.0 | Polciy Loss: -5.846319198608398 | Steps: 1436
Episode: 45 | Reward: 190.0 | Polciy Loss: -6.72636604309082 | Steps: 1626
Episode: 46 | Reward: 186.0 | Polciy Loss: -6.7921600341796875 | Steps: 1812
Episode: 47 | Reward: 148.0 | Polciy Loss: -7.393975257873535 | Steps: 1960
Episode: 48 | Reward: 196.0 | Polciy Loss: -7.95955228805542 | Steps: 2156
Episode: 49 | Reward: 189.0 | Polciy Loss: -8.160050392150879 | Steps: 2345
Episode: 50 | Reward: 200.0 | Polciy Loss: -8.590768814086914 | Steps: 2545
Episode: 51 | Reward: 200.0 | Polciy Loss: -8.98116683959961 | Steps: 2745
Episode: 52 | Reward: 200.0 | Polciy Loss: -9.510971069335938 | Steps: 2945
Episode: 53 | Reward: 195.0 | Polciy Loss: -9.76771354675293 | Steps: 3140
Episode: 54 | Reward: 200.0 | Polciy Loss: -10.396947860717773 | Steps: 3340
Episode: 55 | Reward: 156.0 | Polciy Loss: -10.315985679626465 | Steps: 3496
Episode: 56 | Reward: 181.0 | Polciy Loss: -10.805858612060547 | Steps: 3677
Episode: 57 | Reward: 200.0 | Polciy Loss: -11.0778226852417 | Steps: 3877
Episode: 58 | Reward: 173.0 | Polciy Loss: -11.075050354003906 | Steps: 4050
Episode: 59 | Reward: 200.0 | Polciy Loss: -11.92831039428711 | Steps: 4250
Episode: 60 | Reward: 200.0 | Polciy Loss: -12.392618179321289 | Steps: 4450
Episode: 61 | Reward: 200.0 | Polciy Loss: -12.61751937866211 | Steps: 4650
Episode: 62 | Reward: 161.0 | Polciy Loss: -13.091485977172852 | Steps: 4811
Episode: 63 | Reward: 200.0 | Polciy Loss: -13.883491516113281 | Steps: 5011
Episode: 64 | Reward: 200.0 | Polciy Loss: -14.324752807617188 | Steps: 5211
Episode: 65 | Reward: 134.0 | Polciy Loss: -14.63367748260498 | Steps: 5345
Episode: 66 | Reward: 161.0 | Polciy Loss: -15.24188232421875 | Steps: 5506
Episode: 67 | Reward: 200.0 | Polciy Loss: -15.107216835021973 | Steps: 5706
Episode: 68 | Reward: 200.0 | Polciy Loss: -16.4808292388916 | Steps: 5906
Episode: 69 | Reward: 200.0 | Polciy Loss: -17.11564826965332 | Steps: 6106
Episode: 70 | Reward: 198.0 | Polciy Loss: -17.436290740966797 | Steps: 6304
Episode: 71 | Reward: 144.0 | Polciy Loss: -18.328033447265625 | Steps: 6448
Episode: 72 | Reward: 200.0 | Polciy Loss: -18.706771850585938 | Steps: 6648
Episode: 73 | Reward: 152.0 | Polciy Loss: -19.2419490814209 | Steps: 6800
