2021-10-14 19:24:09,969 INFO    MainThread:22419 [wandb_setup.py:_flush():70] setting env: {}
2021-10-14 19:24:09,970 INFO    MainThread:22419 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-14 19:24:09,970 INFO    MainThread:22419 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-14 19:24:09,970 INFO    MainThread:22419 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-SAC-discrete/wandb/run-20211014_192409-1fjli57a/logs/debug.log
2021-10-14 19:24:09,970 INFO    MainThread:22419 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-SAC-discrete/wandb/run-20211014_192409-1fjli57a/logs/debug-internal.log
2021-10-14 19:24:10,948 INFO    MainThread:22419 [wandb_run.py:_console_start():1218] atexit reg
2021-10-14 19:24:10,948 INFO    MainThread:22419 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-14 19:24:10,949 INFO    MainThread:22419 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-14 19:24:10,949 INFO    MainThread:22419 [redirect.py:install():204] install start
2021-10-14 19:24:10,949 INFO    MainThread:22419 [redirect.py:install():219] install stop
2021-10-14 19:24:10,949 INFO    MainThread:22419 [redirect.py:install():204] install start
2021-10-14 19:24:10,952 INFO    MainThread:22419 [redirect.py:install():219] install stop
2021-10-14 19:24:10,952 INFO    MainThread:22419 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-14 19:24:14,010 INFO    MainThread:22419 [wandb_watch.py:watch():35] Watching
2021-10-14 19:24:14,243 INFO    MainThread:22419 [wandb_run.py:finish():912] finishing run sebastian-dittert/CQL/1fjli57a
