/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 16.0 | Polciy Loss: -0.9717387557029724 | Steps: 16
Episode: 2 | Reward: 62.0 | Polciy Loss: -1.8989067077636719 | Steps: 78
Episode: 3 | Reward: 20.0 | Polciy Loss: -1.99617338180542 | Steps: 98
Episode: 4 | Reward: 13.0 | Polciy Loss: -2.0732927322387695 | Steps: 111
Episode: 5 | Reward: 25.0 | Polciy Loss: -2.1844868659973145 | Steps: 136
Episode: 6 | Reward: 13.0 | Polciy Loss: -2.2539944648742676 | Steps: 149
Episode: 7 | Reward: 13.0 | Polciy Loss: -2.3066680431365967 | Steps: 162
Episode: 8 | Reward: 34.0 | Polciy Loss: -2.4622721672058105 | Steps: 196
Episode: 9 | Reward: 14.0 | Polciy Loss: -2.555083990097046 | Steps: 210
Episode: 10 | Reward: 43.0 | Polciy Loss: -2.7509946823120117 | Steps: 253
Episode: 11 | Reward: 9.0 | Polciy Loss: -2.792818546295166 | Steps: 262
Episode: 12 | Reward: 36.0 | Polciy Loss: -2.92293643951416 | Steps: 298
Episode: 13 | Reward: 52.0 | Polciy Loss: -3.1554415225982666 | Steps: 350
Episode: 14 | Reward: 10.0 | Polciy Loss: -3.1890745162963867 | Steps: 360
Episode: 15 | Reward: 15.0 | Polciy Loss: -3.2626991271972656 | Steps: 375
Episode: 16 | Reward: 31.0 | Polciy Loss: -3.3636746406555176 | Steps: 406
Episode: 17 | Reward: 9.0 | Polciy Loss: -3.4819188117980957 | Steps: 415
Episode: 18 | Reward: 12.0 | Polciy Loss: -3.468769073486328 | Steps: 427
Episode: 19 | Reward: 30.0 | Polciy Loss: -3.577869415283203 | Steps: 457
Episode: 20 | Reward: 20.0 | Polciy Loss: -3.5968761444091797 | Steps: 477
Episode: 21 | Reward: 23.0 | Polciy Loss: -3.711404323577881 | Steps: 500
Episode: 22 | Reward: 16.0 | Polciy Loss: -3.7491371631622314 | Steps: 516
