2021-09-06 12:07:23,251 INFO    MainThread:184564 [wandb_setup.py:_flush():70] setting env: {}
2021-09-06 12:07:23,252 INFO    MainThread:184564 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-09-06 12:07:23,252 INFO    MainThread:184564 [wandb_setup.py:_flush():70] setting login settings: {}
2021-09-06 12:07:23,252 INFO    MainThread:184564 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-SAC/wandb/run-20210906_120723-24wdsfm9/logs/debug.log
2021-09-06 12:07:23,252 INFO    MainThread:184564 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-SAC/wandb/run-20210906_120723-24wdsfm9/logs/debug-internal.log
2021-09-06 12:07:25,186 INFO    MainThread:184564 [wandb_run.py:_console_start():1218] atexit reg
2021-09-06 12:07:25,187 INFO    MainThread:184564 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-09-06 12:07:25,187 INFO    MainThread:184564 [wandb_run.py:_redirect():1088] Redirecting console.
2021-09-06 12:07:25,187 INFO    MainThread:184564 [redirect.py:install():204] install start
2021-09-06 12:07:25,188 INFO    MainThread:184564 [redirect.py:install():219] install stop
2021-09-06 12:07:25,188 INFO    MainThread:184564 [redirect.py:install():204] install start
2021-09-06 12:07:25,190 INFO    MainThread:184564 [redirect.py:install():219] install stop
2021-09-06 12:07:25,190 INFO    MainThread:184564 [wandb_run.py:_redirect():1132] Redirects installed.
2021-09-06 12:07:30,368 INFO    MainThread:184564 [wandb_watch.py:watch():35] Watching
2021-09-06 12:07:34,706 INFO    MainThread:184564 [wandb_run.py:finish():912] finishing run sebastian-dittert/CQL/24wdsfm9
