/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -907.9946996862926 | Polciy Loss: 6.112177848815918 | Steps: 200
Episode: 2 | Reward: -1305.5263072655478 | Polciy Loss: 6.7425642013549805 | Steps: 400
Episode: 3 | Reward: -1353.3409608203135 | Polciy Loss: 7.869008541107178 | Steps: 600
Episode: 4 | Reward: -1791.01827826187 | Polciy Loss: 9.365133285522461 | Steps: 800
Episode: 5 | Reward: -1133.2454688229443 | Polciy Loss: 11.898648262023926 | Steps: 1000
Episode: 6 | Reward: -1405.0153051097009 | Polciy Loss: 12.463492393493652 | Steps: 1200
Episode: 7 | Reward: -980.5210832803857 | Polciy Loss: 14.620832443237305 | Steps: 1400
Episode: 8 | Reward: -766.6381573788783 | Polciy Loss: 15.727317810058594 | Steps: 1600
Episode: 9 | Reward: -879.9151091706801 | Polciy Loss: 16.639034271240234 | Steps: 1800
Episode: 10 | Reward: -1392.2542534457418 | Polciy Loss: 17.635766983032227 | Steps: 2000
Episode: 11 | Reward: -1171.8885310515805 | Polciy Loss: 18.865262985229492 | Steps: 2200
Episode: 12 | Reward: -1765.4257755341673 | Polciy Loss: 21.38599395751953 | Steps: 2400
Episode: 13 | Reward: -1173.9311592948206 | Polciy Loss: 22.580406188964844 | Steps: 2600
Episode: 14 | Reward: -1292.091559757018 | Polciy Loss: 25.370372772216797 | Steps: 2800
Episode: 15 | Reward: -1258.8283033988648 | Polciy Loss: 25.666675567626953 | Steps: 3000
Episode: 16 | Reward: -970.908097716488 | Polciy Loss: 27.22332763671875 | Steps: 3200
Episode: 17 | Reward: -1498.9689257592117 | Polciy Loss: 28.372758865356445 | Steps: 3400
Episode: 18 | Reward: -1552.0609912116158 | Polciy Loss: 29.848604202270508 | Steps: 3600
Episode: 19 | Reward: -1558.2238866243902 | Polciy Loss: 30.531742095947266 | Steps: 3800
Episode: 20 | Reward: -1235.4402866414885 | Polciy Loss: 32.56110382080078 | Steps: 4000
Episode: 21 | Reward: -1756.9813266320207 | Polciy Loss: 33.55577087402344 | Steps: 4200
Episode: 22 | Reward: -1265.022694712018 | Polciy Loss: 35.742897033691406 | Steps: 4400
