/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -763.4864589115341 | Polciy Loss: 6.059018611907959 | Steps: 200
Episode: 2 | Reward: -1317.652603001872 | Polciy Loss: 6.404829978942871 | Steps: 400
Episode: 3 | Reward: -1382.311438023002 | Polciy Loss: 6.671337127685547 | Steps: 600
Episode: 4 | Reward: -1596.432708937347 | Polciy Loss: 7.09980583190918 | Steps: 800
Episode: 5 | Reward: -1073.5216233006238 | Polciy Loss: 8.550130844116211 | Steps: 1000
Episode: 6 | Reward: -1674.979125883914 | Polciy Loss: 8.477265357971191 | Steps: 1200
Episode: 7 | Reward: -1173.6894260419133 | Polciy Loss: 10.095378875732422 | Steps: 1400
Episode: 8 | Reward: -768.4693407513734 | Polciy Loss: 10.887088775634766 | Steps: 1600
Episode: 9 | Reward: -781.5182184763632 | Polciy Loss: 11.183425903320312 | Steps: 1800
Episode: 10 | Reward: -1588.1321381632222 | Polciy Loss: 11.931396484375 | Steps: 2000
Episode: 11 | Reward: -1278.8590232156123 | Polciy Loss: 12.726686477661133 | Steps: 2200
Episode: 12 | Reward: -1773.052555799427 | Polciy Loss: 14.147865295410156 | Steps: 2400
Episode: 13 | Reward: -1338.6691296601805 | Polciy Loss: 15.403156280517578 | Steps: 2600
Episode: 14 | Reward: -1359.5147866074692 | Polciy Loss: 16.978404998779297 | Steps: 2800
Episode: 15 | Reward: -1315.0805700528933 | Polciy Loss: 17.694618225097656 | Steps: 3000
Episode: 16 | Reward: -1202.4527620152946 | Polciy Loss: 18.975688934326172 | Steps: 3200
Episode: 17 | Reward: -1693.0172847131992 | Polciy Loss: 19.460662841796875 | Steps: 3400
