/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -722.5244913322742 | Polciy Loss: 11.936870574951172 | Steps: 200
Episode: 2 | Reward: -1388.7276353224097 | Polciy Loss: 21.670724868774414 | Steps: 400
Episode: 3 | Reward: -1466.4010366625705 | Polciy Loss: 31.652267456054688 | Steps: 600
Episode: 4 | Reward: -1670.9687057585998 | Polciy Loss: 41.69084930419922 | Steps: 800
Episode: 5 | Reward: -1302.2169283494613 | Polciy Loss: 53.12461853027344 | Steps: 1000
Episode: 6 | Reward: -1700.2683246413435 | Polciy Loss: 62.17753982543945 | Steps: 1200
Episode: 7 | Reward: -1087.1379476938635 | Polciy Loss: 74.83812713623047 | Steps: 1400
Episode: 8 | Reward: -1053.0538317598791 | Polciy Loss: 86.13685607910156 | Steps: 1600
Episode: 9 | Reward: -1184.9970285408942 | Polciy Loss: 93.86344909667969 | Steps: 1800
Episode: 10 | Reward: -1113.3469575713439 | Polciy Loss: 98.76162719726562 | Steps: 2000
Episode: 11 | Reward: -1042.317710473942 | Polciy Loss: 109.83361053466797 | Steps: 2200
Episode: 12 | Reward: -1197.8519535115315 | Polciy Loss: 114.21604919433594 | Steps: 2400
Episode: 13 | Reward: -1155.9905287145612 | Polciy Loss: 120.941650390625 | Steps: 2600
Episode: 14 | Reward: -1153.2040535438964 | Polciy Loss: 134.86610412597656 | Steps: 2800
Episode: 15 | Reward: -1134.6552810720084 | Polciy Loss: 137.06202697753906 | Steps: 3000
Episode: 16 | Reward: -1014.9148309538589 | Polciy Loss: 143.0655517578125 | Steps: 3200
Episode: 17 | Reward: -1082.7361263377827 | Polciy Loss: 153.35745239257812 | Steps: 3400
Episode: 18 | Reward: -850.8475584088739 | Polciy Loss: 158.10623168945312 | Steps: 3600
Episode: 19 | Reward: -972.2518930591979 | Polciy Loss: 163.9686279296875 | Steps: 3800
Episode: 20 | Reward: -769.9458726272708 | Polciy Loss: 170.60089111328125 | Steps: 4000
Episode: 21 | Reward: -969.9686061920154 | Polciy Loss: 172.5302276611328 | Steps: 4200
Episode: 22 | Reward: -863.24349748973 | Polciy Loss: 177.64389038085938 | Steps: 4400
Episode: 23 | Reward: -624.548662558471 | Polciy Loss: 185.31004333496094 | Steps: 4600
Episode: 24 | Reward: -761.923119454404 | Polciy Loss: 191.1670684814453 | Steps: 4800
Episode: 25 | Reward: -748.7969865978555 | Polciy Loss: 196.62564086914062 | Steps: 5000
Episode: 26 | Reward: -891.0090804338149 | Polciy Loss: 194.83033752441406 | Steps: 5200
Episode: 27 | Reward: -757.1261069669504 | Polciy Loss: 205.17445373535156 | Steps: 5400
Episode: 28 | Reward: -1048.9184467518426 | Polciy Loss: 208.77383422851562 | Steps: 5600
Episode: 29 | Reward: -860.0613833140435 | Polciy Loss: 210.46401977539062 | Steps: 5800
Episode: 30 | Reward: -1046.455292699432 | Polciy Loss: 212.37954711914062 | Steps: 6000
Episode: 31 | Reward: -737.0017960723037 | Polciy Loss: 217.1251983642578 | Steps: 6200
Episode: 32 | Reward: -874.3207990028912 | Polciy Loss: 215.7542266845703 | Steps: 6400
Episode: 33 | Reward: -941.0253791914641 | Polciy Loss: 222.89041137695312 | Steps: 6600
Episode: 34 | Reward: -655.6350818431309 | Polciy Loss: 222.75489807128906 | Steps: 6800
Episode: 35 | Reward: -798.9864106435997 | Polciy Loss: 230.8635711669922 | Steps: 7000
Episode: 36 | Reward: -762.5497103449582 | Polciy Loss: 232.41952514648438 | Steps: 7200
Episode: 37 | Reward: -876.1821648391519 | Polciy Loss: 230.915283203125 | Steps: 7400
