/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -788.690221514052 | Polciy Loss: 11.923263549804688 | Steps: 200
Episode: 2 | Reward: -1381.2715327228454 | Polciy Loss: 21.73178482055664 | Steps: 400
Episode: 3 | Reward: -1465.1964301021815 | Polciy Loss: 31.56529426574707 | Steps: 600
Episode: 4 | Reward: -1663.2265643724331 | Polciy Loss: 41.494998931884766 | Steps: 800
Episode: 5 | Reward: -1283.4010906671865 | Polciy Loss: 53.450138092041016 | Steps: 1000
Episode: 6 | Reward: -1672.922122810967 | Polciy Loss: 61.825687408447266 | Steps: 1200
Episode: 7 | Reward: -1079.8302955942981 | Polciy Loss: 75.91581726074219 | Steps: 1400
Episode: 8 | Reward: -1052.3087483070071 | Polciy Loss: 86.18038940429688 | Steps: 1600
Episode: 9 | Reward: -1187.646887982653 | Polciy Loss: 94.30245971679688 | Steps: 1800
Episode: 10 | Reward: -1136.6455334827847 | Polciy Loss: 100.04741668701172 | Steps: 2000
Episode: 11 | Reward: -1155.8514948835564 | Polciy Loss: 111.81312561035156 | Steps: 2200
Episode: 12 | Reward: -1118.0513056569262 | Polciy Loss: 115.41712951660156 | Steps: 2400
Episode: 13 | Reward: -1159.3515558630775 | Polciy Loss: 122.82685852050781 | Steps: 2600
Episode: 14 | Reward: -1156.9855926031582 | Polciy Loss: 136.84677124023438 | Steps: 2800
Episode: 15 | Reward: -1110.2046084167978 | Polciy Loss: 140.1465606689453 | Steps: 3000
Episode: 16 | Reward: -959.3942457181338 | Polciy Loss: 146.0048370361328 | Steps: 3200
Episode: 17 | Reward: -998.6184566493853 | Polciy Loss: 156.33570861816406 | Steps: 3400
Episode: 18 | Reward: -723.5871556725237 | Polciy Loss: 162.02561950683594 | Steps: 3600
Episode: 19 | Reward: -972.6145392900952 | Polciy Loss: 169.25831604003906 | Steps: 3800
Episode: 20 | Reward: -625.3299788690789 | Polciy Loss: 174.12489318847656 | Steps: 4000
Episode: 21 | Reward: -860.3164376282832 | Polciy Loss: 177.16331481933594 | Steps: 4200
Episode: 22 | Reward: -743.1096789893043 | Polciy Loss: 181.66993713378906 | Steps: 4400
Episode: 23 | Reward: -497.63588595538795 | Polciy Loss: 191.5211181640625 | Steps: 4600
Episode: 24 | Reward: -504.94341875156994 | Polciy Loss: 195.45974731445312 | Steps: 4800
Episode: 25 | Reward: -749.3710528296685 | Polciy Loss: 200.58050537109375 | Steps: 5000
Episode: 26 | Reward: -880.8716236791945 | Polciy Loss: 200.6253204345703 | Steps: 5200
Episode: 27 | Reward: -501.5898263976294 | Polciy Loss: 207.86221313476562 | Steps: 5400
Episode: 28 | Reward: -800.7313729170023 | Polciy Loss: 212.01344299316406 | Steps: 5600
Episode: 29 | Reward: -741.3602003880433 | Polciy Loss: 214.05032348632812 | Steps: 5800
Episode: 30 | Reward: -906.0069948800298 | Polciy Loss: 216.78115844726562 | Steps: 6000
Episode: 31 | Reward: -484.0264339555754 | Polciy Loss: 223.5653839111328 | Steps: 6200
Episode: 32 | Reward: -612.5807489410408 | Polciy Loss: 219.50772094726562 | Steps: 6400
Episode: 33 | Reward: -922.8762044614224 | Polciy Loss: 227.5435333251953 | Steps: 6600
Episode: 34 | Reward: -375.89411621814827 | Polciy Loss: 226.83413696289062 | Steps: 6800
