/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -831.0153813923168 | Polciy Loss: 11.777116775512695 | Steps: 200
Episode: 2 | Reward: -1379.2611115383565 | Polciy Loss: 21.63880157470703 | Steps: 400
Episode: 3 | Reward: -1463.401214873312 | Polciy Loss: 31.31509780883789 | Steps: 600
Episode: 4 | Reward: -1659.2702413573222 | Polciy Loss: 41.079566955566406 | Steps: 800
Episode: 5 | Reward: -1284.1772549010238 | Polciy Loss: 52.719017028808594 | Steps: 1000
Episode: 6 | Reward: -1654.583733024371 | Polciy Loss: 60.716148376464844 | Steps: 1200
Episode: 7 | Reward: -1079.8979177546612 | Polciy Loss: 74.30860137939453 | Steps: 1400
Episode: 8 | Reward: -1071.2340889151922 | Polciy Loss: 84.3721694946289 | Steps: 1600
Episode: 9 | Reward: -1188.0969732316394 | Polciy Loss: 91.2722396850586 | Steps: 1800
Episode: 10 | Reward: -1130.1795143302882 | Polciy Loss: 96.2427978515625 | Steps: 2000
Episode: 11 | Reward: -1163.3364497289415 | Polciy Loss: 106.62771606445312 | Steps: 2200
Episode: 12 | Reward: -1166.3223141431165 | Polciy Loss: 109.8417739868164 | Steps: 2400
Episode: 13 | Reward: -1141.5618932551185 | Polciy Loss: 115.89453887939453 | Steps: 2600
Episode: 14 | Reward: -1134.7562924528745 | Polciy Loss: 129.0290985107422 | Steps: 2800
Episode: 15 | Reward: -1019.6766260576635 | Polciy Loss: 130.94493103027344 | Steps: 3000
Episode: 16 | Reward: -1048.721624974852 | Polciy Loss: 136.36825561523438 | Steps: 3200
Episode: 17 | Reward: -992.1908695924035 | Polciy Loss: 145.2932586669922 | Steps: 3400
Episode: 18 | Reward: -730.498993992717 | Polciy Loss: 149.44586181640625 | Steps: 3600
Episode: 19 | Reward: -997.4725724754046 | Polciy Loss: 155.8302001953125 | Steps: 3800
Episode: 20 | Reward: -587.9914115583313 | Polciy Loss: 160.70816040039062 | Steps: 4000
Episode: 21 | Reward: -739.5339636219807 | Polciy Loss: 160.90370178222656 | Steps: 4200
Episode: 22 | Reward: -619.3171105415787 | Polciy Loss: 166.88204956054688 | Steps: 4400
Episode: 23 | Reward: -499.9430975452891 | Polciy Loss: 174.26478576660156 | Steps: 4600
Episode: 24 | Reward: -612.3920886823098 | Polciy Loss: 177.6573028564453 | Steps: 4800
Episode: 25 | Reward: -488.1764443374978 | Polciy Loss: 182.72378540039062 | Steps: 5000
Episode: 26 | Reward: -746.7228138919446 | Polciy Loss: 181.1416778564453 | Steps: 5200
Episode: 27 | Reward: -250.66927660783406 | Polciy Loss: 185.7504119873047 | Steps: 5400
Episode: 28 | Reward: -786.2858487659628 | Polciy Loss: 190.0650177001953 | Steps: 5600
Episode: 29 | Reward: -474.6466015375591 | Polciy Loss: 190.2950439453125 | Steps: 5800
Episode: 30 | Reward: -650.9158822185573 | Polciy Loss: 194.709716796875 | Steps: 6000
Episode: 31 | Reward: -127.30810897884488 | Polciy Loss: 197.49444580078125 | Steps: 6200
Episode: 32 | Reward: -485.56978737110353 | Polciy Loss: 191.1482391357422 | Steps: 6400
Episode: 33 | Reward: -775.9904073772657 | Polciy Loss: 199.54441833496094 | Steps: 6600
Episode: 34 | Reward: -123.24838607462368 | Polciy Loss: 197.5408477783203 | Steps: 6800
Episode: 35 | Reward: -483.4918362783095 | Polciy Loss: 201.98175048828125 | Steps: 7000
Episode: 36 | Reward: -126.77418799826671 | Polciy Loss: 204.73179626464844 | Steps: 7200
Episode: 37 | Reward: -237.57561129625424 | Polciy Loss: 198.05523681640625 | Steps: 7400
Episode: 38 | Reward: -245.54011636870922 | Polciy Loss: 200.78689575195312 | Steps: 7600
Episode: 39 | Reward: -122.85556636334735 | Polciy Loss: 208.2059326171875 | Steps: 7800
Episode: 40 | Reward: -605.2273175278925 | Polciy Loss: 199.95582580566406 | Steps: 8000
Episode: 41 | Reward: -125.7425081554286 | Polciy Loss: 204.00689697265625 | Steps: 8200
Episode: 42 | Reward: -365.38624478669897 | Polciy Loss: 202.85208129882812 | Steps: 8400
Episode: 43 | Reward: -123.0432194184629 | Polciy Loss: 197.3897705078125 | Steps: 8600
Episode: 44 | Reward: -126.97525541871545 | Polciy Loss: 197.6595916748047 | Steps: 8800
Episode: 45 | Reward: -237.83638597920097 | Polciy Loss: 207.49661254882812 | Steps: 9000
Episode: 46 | Reward: -242.89315859658393 | Polciy Loss: 196.36231994628906 | Steps: 9200
Episode: 47 | Reward: -122.24934837433396 | Polciy Loss: 191.2611541748047 | Steps: 9400
Episode: 48 | Reward: -125.15303300303326 | Polciy Loss: 195.44180297851562 | Steps: 9600
Episode: 49 | Reward: -695.9064942691186 | Polciy Loss: 199.9976348876953 | Steps: 9800
Episode: 50 | Reward: -351.2910405123975 | Polciy Loss: 184.20150756835938 | Steps: 10000
Episode: 51 | Reward: -237.4075678478609 | Polciy Loss: 205.54380798339844 | Steps: 10200
Episode: 52 | Reward: -616.2967948214414 | Polciy Loss: 201.8436737060547 | Steps: 10400
Episode: 53 | Reward: -1.2229170808754166 | Polciy Loss: 193.13186645507812 | Steps: 10600
Episode: 54 | Reward: -232.94683440781057 | Polciy Loss: 182.2194061279297 | Steps: 10800
Episode: 55 | Reward: -1.1756165073317235 | Polciy Loss: 190.7401123046875 | Steps: 11000
Episode: 56 | Reward: -125.86386225651404 | Polciy Loss: 189.28173828125 | Steps: 11200
