/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -849.9493323122508 | Polciy Loss: 11.678121566772461 | Steps: 200
Episode: 2 | Reward: -1386.8874415631144 | Polciy Loss: 21.921979904174805 | Steps: 400
Episode: 3 | Reward: -1455.6818744839493 | Polciy Loss: 32.05084228515625 | Steps: 600
Episode: 4 | Reward: -1627.2528091011256 | Polciy Loss: 41.604347229003906 | Steps: 800
Episode: 5 | Reward: -1211.5108013386828 | Polciy Loss: 53.28346633911133 | Steps: 1000
Episode: 6 | Reward: -1525.901394943253 | Polciy Loss: 61.3291015625 | Steps: 1200
Episode: 7 | Reward: -898.3094019253415 | Polciy Loss: 74.50690460205078 | Steps: 1400
Episode: 8 | Reward: -1123.859068546474 | Polciy Loss: 85.04238891601562 | Steps: 1600
Episode: 9 | Reward: -1183.9725023864805 | Polciy Loss: 91.63371276855469 | Steps: 1800
Episode: 10 | Reward: -1135.8174867941482 | Polciy Loss: 96.8693618774414 | Steps: 2000
Episode: 11 | Reward: -1143.9607109854612 | Polciy Loss: 105.82272338867188 | Steps: 2200
Episode: 12 | Reward: -1209.6898095443137 | Polciy Loss: 110.4427490234375 | Steps: 2400
Episode: 13 | Reward: -1011.6680634343087 | Polciy Loss: 116.71659851074219 | Steps: 2600
Episode: 14 | Reward: -1108.1940344277436 | Polciy Loss: 128.66664123535156 | Steps: 2800
Episode: 15 | Reward: -1039.2237615103784 | Polciy Loss: 131.22756958007812 | Steps: 3000
Episode: 16 | Reward: -786.2358250145238 | Polciy Loss: 136.02706909179688 | Steps: 3200
Episode: 17 | Reward: -973.2705824118259 | Polciy Loss: 146.26016235351562 | Steps: 3400
Episode: 18 | Reward: -722.5276144105868 | Polciy Loss: 150.20315551757812 | Steps: 3600
Episode: 19 | Reward: -953.7930946656214 | Polciy Loss: 154.21463012695312 | Steps: 3800
Episode: 20 | Reward: -623.8550074098162 | Polciy Loss: 162.5373077392578 | Steps: 4000
Episode: 21 | Reward: -732.6819537257594 | Polciy Loss: 161.6698455810547 | Steps: 4200
Episode: 22 | Reward: -694.1008126508099 | Polciy Loss: 168.3887481689453 | Steps: 4400
