/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -1452.2308166288512 | Polciy Loss: 11.551732063293457 | Steps: 200
Episode: 2 | Reward: -1133.2571993863567 | Polciy Loss: 22.117687225341797 | Steps: 400
Episode: 3 | Reward: -1763.4609031465488 | Polciy Loss: 33.01727294921875 | Steps: 600
Episode: 4 | Reward: -1450.1985997566846 | Polciy Loss: 45.48228073120117 | Steps: 800
Episode: 5 | Reward: -1089.991162391636 | Polciy Loss: 56.2278938293457 | Steps: 1000
Episode: 6 | Reward: -858.5152873609733 | Polciy Loss: 64.5748062133789 | Steps: 1200
Episode: 7 | Reward: -1095.8656043825465 | Polciy Loss: 77.5213623046875 | Steps: 1400
Episode: 8 | Reward: -1397.9145316610727 | Polciy Loss: 84.11007690429688 | Steps: 1600
Episode: 9 | Reward: -1063.5419298681788 | Polciy Loss: 91.41555786132812 | Steps: 1800
Episode: 10 | Reward: -1170.7048129043665 | Polciy Loss: 98.88423156738281 | Steps: 2000
Episode: 11 | Reward: -1167.3746327088318 | Polciy Loss: 106.20375061035156 | Steps: 2200
Episode: 12 | Reward: -1147.7793716380368 | Polciy Loss: 108.81954956054688 | Steps: 2400
Episode: 13 | Reward: -1165.0846953120517 | Polciy Loss: 118.74642944335938 | Steps: 2600
Episode: 14 | Reward: -1201.939421134113 | Polciy Loss: 127.92961120605469 | Steps: 2800
Episode: 15 | Reward: -1149.1456576671437 | Polciy Loss: 133.12994384765625 | Steps: 3000
Episode: 16 | Reward: -780.2732809550505 | Polciy Loss: 139.60812377929688 | Steps: 3200
Episode: 17 | Reward: -1036.2796890963984 | Polciy Loss: 141.87045288085938 | Steps: 3400
Episode: 18 | Reward: -909.0982400561485 | Polciy Loss: 147.29376220703125 | Steps: 3600
Episode: 19 | Reward: -901.9192307967498 | Polciy Loss: 152.29808044433594 | Steps: 3800
Episode: 20 | Reward: -755.0284304496595 | Polciy Loss: 157.11752319335938 | Steps: 4000
Episode: 21 | Reward: -565.4137789023875 | Polciy Loss: 169.34689331054688 | Steps: 4200
Episode: 22 | Reward: -980.4806732163252 | Polciy Loss: 172.36178588867188 | Steps: 4400
Episode: 23 | Reward: -729.6015736516342 | Polciy Loss: 175.73460388183594 | Steps: 4600
Episode: 24 | Reward: -482.12256333759075 | Polciy Loss: 180.83457946777344 | Steps: 4800
Episode: 25 | Reward: -251.80296871161838 | Polciy Loss: 178.05735778808594 | Steps: 5000
Episode: 26 | Reward: -621.8756730328583 | Polciy Loss: 186.25242614746094 | Steps: 5200
Episode: 27 | Reward: -624.5507662877767 | Polciy Loss: 182.46746826171875 | Steps: 5400
Episode: 28 | Reward: -901.8473218381106 | Polciy Loss: 187.9157257080078 | Steps: 5600
Episode: 29 | Reward: -506.9437524680509 | Polciy Loss: 189.93472290039062 | Steps: 5800
