2021-09-06 16:45:11,446 INFO    MainThread:201546 [wandb_setup.py:_flush():70] setting env: {}
2021-09-06 16:45:11,447 INFO    MainThread:201546 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-09-06 16:45:11,447 INFO    MainThread:201546 [wandb_setup.py:_flush():70] setting login settings: {}
2021-09-06 16:45:11,447 INFO    MainThread:201546 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/CQL/CQL-SAC/wandb/run-20210906_164511-1njyy2j8/logs/debug.log
2021-09-06 16:45:11,448 INFO    MainThread:201546 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/CQL/CQL-SAC/wandb/run-20210906_164511-1njyy2j8/logs/debug-internal.log
2021-09-06 16:45:13,160 INFO    MainThread:201546 [wandb_run.py:_console_start():1218] atexit reg
2021-09-06 16:45:13,160 INFO    MainThread:201546 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-09-06 16:45:13,161 INFO    MainThread:201546 [wandb_run.py:_redirect():1088] Redirecting console.
2021-09-06 16:45:13,161 INFO    MainThread:201546 [redirect.py:install():204] install start
2021-09-06 16:45:13,161 INFO    MainThread:201546 [redirect.py:install():219] install stop
2021-09-06 16:45:13,161 INFO    MainThread:201546 [redirect.py:install():204] install start
2021-09-06 16:45:13,163 INFO    MainThread:201546 [redirect.py:install():219] install stop
2021-09-06 16:45:13,163 INFO    MainThread:201546 [wandb_run.py:_redirect():1132] Redirects installed.
2021-09-06 16:45:19,509 INFO    MainThread:201546 [wandb_watch.py:watch():35] Watching
2021-09-06 16:52:36,429 INFO    MainThread:201546 [wandb_run.py:finish():912] finishing run sebastian-dittert/CQL/1njyy2j8
