/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -1219.0180497872773 | Polciy Loss: 11.81827163696289 | Steps: 200
Episode: 2 | Reward: -1719.5635639239347 | Polciy Loss: 21.12220573425293 | Steps: 400
Episode: 3 | Reward: -1355.6995548441366 | Polciy Loss: 32.57318115234375 | Steps: 600
Episode: 4 | Reward: -1680.8244716443555 | Polciy Loss: 44.42424392700195 | Steps: 800
Episode: 5 | Reward: -1306.9718764549064 | Polciy Loss: 53.737274169921875 | Steps: 1000
Episode: 6 | Reward: -966.7587546370348 | Polciy Loss: 64.07203674316406 | Steps: 1200
Episode: 7 | Reward: -1126.8516632204203 | Polciy Loss: 75.9602279663086 | Steps: 1400
Episode: 8 | Reward: -1277.346238319116 | Polciy Loss: 84.1173095703125 | Steps: 1600
Episode: 9 | Reward: -1265.5217117359343 | Polciy Loss: 89.98208618164062 | Steps: 1800
Episode: 10 | Reward: -1291.9621114166607 | Polciy Loss: 101.89674377441406 | Steps: 2000
Episode: 11 | Reward: -1270.6839153088417 | Polciy Loss: 107.7357177734375 | Steps: 2200
Episode: 12 | Reward: -1165.591941463776 | Polciy Loss: 113.21363067626953 | Steps: 2400
Episode: 13 | Reward: -1273.3553086657716 | Polciy Loss: 115.45779418945312 | Steps: 2600
Episode: 14 | Reward: -1266.0251388795139 | Polciy Loss: 128.98731994628906 | Steps: 2800
Episode: 15 | Reward: -1165.1989674603897 | Polciy Loss: 128.65939331054688 | Steps: 3000
Episode: 16 | Reward: -1193.6931674515433 | Polciy Loss: 141.2799835205078 | Steps: 3200
Episode: 17 | Reward: -1161.7614536718859 | Polciy Loss: 144.05433654785156 | Steps: 3400
Episode: 18 | Reward: -1071.992735062278 | Polciy Loss: 151.08407592773438 | Steps: 3600
Episode: 19 | Reward: -998.5391081429633 | Polciy Loss: 152.47586059570312 | Steps: 3800
Episode: 20 | Reward: -873.003946716104 | Polciy Loss: 163.5225830078125 | Steps: 4000
Episode: 21 | Reward: -1009.7431572542168 | Polciy Loss: 161.99478149414062 | Steps: 4200
Episode: 22 | Reward: -879.8471520198761 | Polciy Loss: 172.54052734375 | Steps: 4400
Episode: 23 | Reward: -764.8499984121188 | Polciy Loss: 178.24539184570312 | Steps: 4600
Episode: 24 | Reward: -859.5605519437047 | Polciy Loss: 183.677001953125 | Steps: 4800
Episode: 25 | Reward: -748.2883576132558 | Polciy Loss: 188.58013916015625 | Steps: 5000
Episode: 26 | Reward: -857.1772489934239 | Polciy Loss: 182.64459228515625 | Steps: 5200
Episode: 27 | Reward: -753.4935827615072 | Polciy Loss: 188.6526641845703 | Steps: 5400
Episode: 28 | Reward: -739.0147942031678 | Polciy Loss: 196.25747680664062 | Steps: 5600
Episode: 29 | Reward: -852.5407401313389 | Polciy Loss: 195.0738983154297 | Steps: 5800
Episode: 30 | Reward: -957.7563517198085 | Polciy Loss: 205.1461181640625 | Steps: 6000
Episode: 31 | Reward: -628.9480305546639 | Polciy Loss: 204.2788848876953 | Steps: 6200
Episode: 32 | Reward: -881.6668376224885 | Polciy Loss: 209.14205932617188 | Steps: 6400
Episode: 33 | Reward: -745.3738105293133 | Polciy Loss: 210.48703002929688 | Steps: 6600
Episode: 34 | Reward: -738.7764247886806 | Polciy Loss: 215.09584045410156 | Steps: 6800
Episode: 35 | Reward: -851.388270523479 | Polciy Loss: 215.1240692138672 | Steps: 7000
Episode: 36 | Reward: -734.3074998817659 | Polciy Loss: 215.65274047851562 | Steps: 7200
Episode: 37 | Reward: -846.5355132764025 | Polciy Loss: 215.26405334472656 | Steps: 7400
Episode: 38 | Reward: -835.8015492670405 | Polciy Loss: 226.37109375 | Steps: 7600
Episode: 39 | Reward: -913.709937136277 | Polciy Loss: 225.81553649902344 | Steps: 7800
Episode: 40 | Reward: -844.0624341354007 | Polciy Loss: 217.14013671875 | Steps: 8000
Episode: 41 | Reward: -529.4013074539795 | Polciy Loss: 236.8949432373047 | Steps: 8200
Episode: 42 | Reward: -629.4985763414084 | Polciy Loss: 226.96237182617188 | Steps: 8400
Episode: 43 | Reward: -740.1576134034033 | Polciy Loss: 228.58120727539062 | Steps: 8600
Episode: 44 | Reward: -504.30504645189717 | Polciy Loss: 232.82850646972656 | Steps: 8800
Episode: 45 | Reward: -535.3531779744322 | Polciy Loss: 236.85736083984375 | Steps: 9000
Episode: 46 | Reward: -617.4260756063721 | Polciy Loss: 235.79107666015625 | Steps: 9200
Episode: 47 | Reward: -630.2065228173428 | Polciy Loss: 237.66659545898438 | Steps: 9400
Episode: 48 | Reward: -625.871501315959 | Polciy Loss: 234.217041015625 | Steps: 9600
Episode: 49 | Reward: -638.4893129702361 | Polciy Loss: 231.71551513671875 | Steps: 9800
