/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -897.6117461051356 | Polciy Loss: 11.686929702758789 | Steps: 200
Episode: 2 | Reward: -1355.2023927383095 | Polciy Loss: 21.985652923583984 | Steps: 400
Episode: 3 | Reward: -1418.3404244475635 | Polciy Loss: 33.14863586425781 | Steps: 600
Episode: 4 | Reward: -1836.3882284559684 | Polciy Loss: 43.9910888671875 | Steps: 800
Episode: 5 | Reward: -1216.749285370121 | Polciy Loss: 56.13418197631836 | Steps: 1000
Episode: 6 | Reward: -1354.1976143986042 | Polciy Loss: 65.0239486694336 | Steps: 1200
Episode: 7 | Reward: -873.3283460793534 | Polciy Loss: 77.74249267578125 | Steps: 1400
Episode: 8 | Reward: -915.9655028132336 | Polciy Loss: 90.30011749267578 | Steps: 1600
Episode: 9 | Reward: -1173.4845691040405 | Polciy Loss: 98.63947296142578 | Steps: 1800
Episode: 10 | Reward: -1099.831433224063 | Polciy Loss: 102.25592041015625 | Steps: 2000
Episode: 11 | Reward: -1037.8138544150056 | Polciy Loss: 112.71427917480469 | Steps: 2200
Episode: 12 | Reward: -1152.7908234263737 | Polciy Loss: 118.5464859008789 | Steps: 2400
Episode: 13 | Reward: -1016.6935203628362 | Polciy Loss: 124.1849365234375 | Steps: 2600
Episode: 14 | Reward: -1066.6853877511903 | Polciy Loss: 138.51376342773438 | Steps: 2800
Episode: 15 | Reward: -1120.0682817121872 | Polciy Loss: 141.61273193359375 | Steps: 3000
Episode: 16 | Reward: -1018.1424272985879 | Polciy Loss: 146.81370544433594 | Steps: 3200
Episode: 17 | Reward: -861.6541798354996 | Polciy Loss: 157.40467834472656 | Steps: 3400
Episode: 18 | Reward: -1117.5219659173986 | Polciy Loss: 162.25531005859375 | Steps: 3600
Episode: 19 | Reward: -994.5503901417069 | Polciy Loss: 166.8844451904297 | Steps: 3800
Episode: 20 | Reward: -993.6052741471323 | Polciy Loss: 173.9739990234375 | Steps: 4000
Episode: 21 | Reward: -849.6751898493294 | Polciy Loss: 174.88427734375 | Steps: 4200
Episode: 22 | Reward: -758.7998047757609 | Polciy Loss: 181.3997802734375 | Steps: 4400
Episode: 23 | Reward: -1013.2643847097603 | Polciy Loss: 189.04638671875 | Steps: 4600
Episode: 24 | Reward: -1073.854765553991 | Polciy Loss: 195.73204040527344 | Steps: 4800
Episode: 25 | Reward: -721.9905871193612 | Polciy Loss: 198.336181640625 | Steps: 5000
Episode: 26 | Reward: -1135.610019507855 | Polciy Loss: 198.56515502929688 | Steps: 5200
Episode: 27 | Reward: -631.2487407608702 | Polciy Loss: 206.1088409423828 | Steps: 5400
Episode: 28 | Reward: -1074.3072722620611 | Polciy Loss: 212.51902770996094 | Steps: 5600
Episode: 29 | Reward: -474.1284069016811 | Polciy Loss: 211.69505310058594 | Steps: 5800
Episode: 30 | Reward: -1062.7898813248994 | Polciy Loss: 217.74435424804688 | Steps: 6000
Episode: 31 | Reward: -508.2368942546548 | Polciy Loss: 219.45050048828125 | Steps: 6200
Episode: 32 | Reward: -616.8067304716114 | Polciy Loss: 217.0629425048828 | Steps: 6400
Episode: 33 | Reward: -1023.8204494662913 | Polciy Loss: 228.181640625 | Steps: 6600
Episode: 34 | Reward: -124.13499803802334 | Polciy Loss: 225.4449005126953 | Steps: 6800
Episode: 35 | Reward: -235.61565691098224 | Polciy Loss: 232.13388061523438 | Steps: 7000
Episode: 36 | Reward: -125.39317842166116 | Polciy Loss: 231.81472778320312 | Steps: 7200
Episode: 37 | Reward: -238.75622077024528 | Polciy Loss: 227.68389892578125 | Steps: 7400
Episode: 38 | Reward: -246.19773146297786 | Polciy Loss: 228.85366821289062 | Steps: 7600
Episode: 39 | Reward: -121.54996768209344 | Polciy Loss: 236.27813720703125 | Steps: 7800
Episode: 40 | Reward: -484.2351703202667 | Polciy Loss: 231.32408142089844 | Steps: 8000
Episode: 41 | Reward: -380.5036790935715 | Polciy Loss: 235.35150146484375 | Steps: 8200
Episode: 42 | Reward: -621.8046311895347 | Polciy Loss: 234.82298278808594 | Steps: 8400
