/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: -905.4450034963289 | Polciy Loss: 11.831448554992676 | Steps: 200
Episode: 2 | Reward: -1348.6523389441993 | Polciy Loss: 22.248727798461914 | Steps: 400
Episode: 3 | Reward: -1408.3919223958878 | Polciy Loss: 33.75996017456055 | Steps: 600
Episode: 4 | Reward: -1838.5143129816274 | Polciy Loss: 44.50082015991211 | Steps: 800
Episode: 5 | Reward: -1210.142830221629 | Polciy Loss: 56.983009338378906 | Steps: 1000
Episode: 6 | Reward: -1357.9078654266584 | Polciy Loss: 65.84282684326172 | Steps: 1200
Episode: 7 | Reward: -918.806117656393 | Polciy Loss: 79.19115447998047 | Steps: 1400
Episode: 8 | Reward: -911.7049313842214 | Polciy Loss: 91.81755828857422 | Steps: 1600
Episode: 9 | Reward: -1123.3574553567244 | Polciy Loss: 100.69418334960938 | Steps: 1800
Episode: 10 | Reward: -1077.762041821833 | Polciy Loss: 104.7232894897461 | Steps: 2000
Episode: 11 | Reward: -1035.382104443572 | Polciy Loss: 116.3702621459961 | Steps: 2200
Episode: 12 | Reward: -1159.059366359444 | Polciy Loss: 122.15597534179688 | Steps: 2400
Episode: 13 | Reward: -1113.7771164127646 | Polciy Loss: 127.9420166015625 | Steps: 2600
